總雨量 (毫米) - 香港國際機場 
Total Rainfall (mm) - Hong Kong International Airport 
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,1,1,0.0,C
2026,1,2,0.0,C
2026,1,3,0.0,C
2026,1,4,0.0,C
2026,1,5,0.0,C
2026,1,6,0.0,C
2026,1,7,0.0,C
2026,1,8,0.0,C
2026,1,9,0.0,C
2026,1,10,0.0,C
2026,1,11,0.0,C
2026,1,12,0.0,C
2026,1,13,0.0,C
2026,1,14,0.0,C
2026,1,15,Trace,C
2026,1,16,0.0,C
2026,1,17,0.0,C
2026,1,18,0.0,C
2026,1,19,0.0,C
2026,1,20,Trace,C
2026,1,21,0.0,C
2026,1,22,0.0,C
2026,1,23,0.0,C
2026,1,24,0.0,C
2026,1,25,0.0,C
2026,1,26,0.0,C
2026,1,27,0.0,C
2026,1,28,0.0,C
2026,1,29,Trace,C
2026,1,30,0.4,C
2026,1,31,0.6,C
2026,2,1,0.8,C
2026,2,2,0.0,C
2026,2,3,0.0,C
2026,2,4,0.0,C
2026,2,5,0.0,C
2026,2,6,0.0,C
2026,2,7,0.0,C
2026,2,8,Trace,C
2026,2,9,0.0,C
2026,2,10,0.0,C
2026,2,11,0.0,C
2026,2,12,0.0,C
2026,2,13,0.0,C
2026,2,14,0.0,C
2026,2,15,0.0,C
2026,2,16,0.0,C
2026,2,17,0.6,C
2026,2,18,0.0,C
2026,2,19,Trace,C
2026,2,20,0.0,C
2026,2,21,0.0,C
2026,2,22,0.0,C
2026,2,23,0.0,C
2026,2,24,0.0,C
2026,2,25,0.0,C
2026,2,26,Trace,C
2026,2,27,Trace,C
2026,2,28,17.1,C
2026,3,1,Trace,C
2026,3,2,9.5,C
2026,3,3,49.9,C
2026,3,4,62.3,C
2026,3,5,Trace,C
2026,3,6,0.0,C
2026,3,7,0.0,C
2026,3,8,0.0,C
2026,3,9,Trace,C
2026,3,10,1.5,C
2026,3,11,0.0,C
2026,3,12,0.0,C
2026,3,13,0.0,C
2026,3,14,0.0,C
2026,3,15,0.0,C
2026,3,16,0.0,C
2026,3,17,0.5,C
2026,3,18,0.0,C
2026,3,19,0.0,C
2026,3,20,Trace,C
2026,3,21,0.0,C
2026,3,22,0.0,C
2026,3,23,0.0,C
2026,3,24,0.0,C
2026,3,25,0.0,C
2026,3,26,0.0,C
2026,3,27,0.6,C
2026,3,28,Trace,C
2026,3,29,0.0,C
2026,3,30,4.6,C
2026,3,31,Trace,C
2026,4,1,Trace,C
2026,4,2,Trace,C
2026,4,3,Trace,C
2026,4,4,18.9,C
2026,4,5,4.7,C
2026,4,6,Trace,C
2026,4,7,Trace,C
2026,4,8,Trace,C
2026,4,9,0.0,C
2026,4,10,0.0,C
2026,4,11,Trace,C
2026,4,12,0.0,C
2026,4,13,0.0,C
2026,4,14,0.0,C
2026,4,15,Trace,C
2026,4,16,0.0,C
2026,4,17,27.7,C
2026,4,18,0.0,C
2026,4,19,0.0,C
2026,4,20,Trace,C
2026,4,21,0.1,C
2026,4,22,0.0,C
2026,4,23,1.2,C
2026,4,24,32.6,C
2026,4,25,Trace,C
2026,4,26,0.0,C
2026,4,27,Trace,C
2026,4,28,Trace,C
2026,4,29,7.3,C
2026,4,30,0.0,C
2026,5,1,Trace,C
2026,5,2,0.0,C
2026,5,3,56.7,C
2026,5,4,0.9,C
2026,5,5,24.2,C
2026,5,6,Trace,C
2026,5,7,0.0,C
2026,5,8,7.7,C
2026,5,9,48.9,C
2026,5,10,0.0,C
2026,5,11,0.0,C
2026,5,12,0.0,C
2026,5,13,0.0,C
2026,5,14,5.9,C
2026,5,15,3.4,C
2026,5,16,4.9,C
2026,5,17,0.5,C
2026,5,18,3.3,C
2026,5,19,52.8,C
2026,5,20,6.2,C
2026,5,21,43.1,C
2026,5,22,2.7,C
2026,5,23,Trace,C
2026,5,24,Trace,C
2026,5,25,0.0,C
2026,5,26,0.0,C
2026,5,27,0.0,C
2026,5,28,0.0,C
2026,5,29,Trace,C
2026,5,30,0.0,C
2026,5,31,26.8,C
2026,6,1,0.0,C
2026,6,2,0.0,C
2026,6,3,Trace,C
2026,6,4,2.7,C
2026,6,5,Trace,C
2026,6,6,48.8,C
2026,6,7,0.4,C
2026,6,8,30.2,C
2026,6,9,Trace,C
2026,6,10,0.0,C
2026,6,11,Trace,C
2026,6,12,1.2,C
2026,6,13,40.7,C
2026,6,14,4.7,C
2026,6,15,70.8,C
2026,6,16,68.5,C
2026,6,17,6.4,C
2026,6,18,212.4,C
2026,6,19,0.1,C
2026,6,20,1.4,C
2026,6,21,0.0,C
2026,6,22,Trace,C
2026,6,23,0.0,C
2026,6,24,0.0,C
2026,6,25,0.4,C
2026,6,26,10.7,C
2026,6,27,Trace,C
2026,6,28,48.8,C
2026,6,29,6.1,C
2026,6,30,14.9,C
2026,7,1,Trace,C
2026,7,2,1.2,C
2026,7,3,54.4,C
2026,7,4,25.2,C
2026,7,5,2.9,C
2026,7,6,37.9,C
2026,7,7,81.8,C
2026,7,8,4.3,C
2026,7,9,4.8,C
2026,7,10,3.4,C
2026,7,11,0.0,C
2026,7,12,0.0,C
2026,7,13,0.0,C
2026,7,14,12.6,C
2026,7,15,37.8,C
2026,7,16,52.6,C
2026,7,17,99.5,C
2026,7,18,4.9,C
2026,7,19,0.2,C
2026,7,20,50.4,C
2026,7,21,8.2,C
2026,7,22,0.2,C
2026,7,23,Trace,C
2026,7,24,0.0,C
2026,7,25,5.4,C
2026,7,26,53.2,C
2026,7,27,16.2,C
2026,7,28,30.2,C
2026,7,29,57.7,C
2026,7,30,7.6,C
2026,7,31,25.6,C

*** 沒有數據/unavailable
# 數據不完整/data incomplete
