總雨量 (毫米) - 將軍澳
Total Rainfall (mm) - Tseung Kwan O
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,1,1,0.0,C
2026,1,2,0.0,C
2026,1,3,0.0,C
2026,1,4,0.0,C
2026,1,5,0.0,C
2026,1,6,0.0,C
2026,1,7,0.0,C
2026,1,8,0.0,C
2026,1,9,0.0,C
2026,1,10,0.0,C
2026,1,11,0.0,C
2026,1,12,0.0,C
2026,1,13,0.0,C
2026,1,14,0.0,C
2026,1,15,2.0,C
2026,1,16,0.0,C
2026,1,17,0.0,C
2026,1,18,0.0,C
2026,1,19,0.0,C
2026,1,20,0.0,C
2026,1,21,0.0,C
2026,1,22,0.0,C
2026,1,23,0.0,C
2026,1,24,0.0,C
2026,1,25,0.0,C
2026,1,26,0.0,C
2026,1,27,0.0,C
2026,1,28,0.0,C
2026,1,29,0.0,C
2026,1,30,0.0,C
2026,1,31,4.0,C
2026,2,1,0.0,C
2026,2,2,0.0,C
2026,2,3,0.0,C
2026,2,4,0.0,C
2026,2,5,0.0,C
2026,2,6,0.0,C
2026,2,7,0.5,C
2026,2,8,0.0,C
2026,2,9,0.0,C
2026,2,10,0.0,C
2026,2,11,0.0,C
2026,2,12,0.0,C
2026,2,13,0.0,C
2026,2,14,0.0,C
2026,2,15,0.0,C
2026,2,16,0.0,C
2026,2,17,0.0,C
2026,2,18,0.0,C
2026,2,19,0.0,C
2026,2,20,0.0,C
2026,2,21,0.0,C
2026,2,22,0.0,C
2026,2,23,0.0,C
2026,2,24,1.0,C
2026,2,25,0.0,C
2026,2,26,1.0,C
2026,2,27,1.0,C
2026,2,28,68.0,C
2026,3,1,5.0,C
2026,3,2,12.0,C
2026,3,3,52.0,C
2026,3,4,71.5,C
2026,3,5,0.0,C
2026,3,6,0.0,C
2026,3,7,0.0,C
2026,3,8,0.0,C
2026,3,9,0.0,C
2026,3,10,0.0,C
2026,3,11,0.0,C
2026,3,12,0.0,C
2026,3,13,0.0,C
2026,3,14,0.0,C
2026,3,15,0.0,C
2026,3,16,0.0,C
2026,3,17,0.0,C
2026,3,18,0.0,C
2026,3,19,0.0,C
2026,3,20,0.0,C
2026,3,21,0.5,C
2026,3,22,0.0,C
2026,3,23,0.0,C
2026,3,24,0.0,C
2026,3,25,0.0,C
2026,3,26,0.0,C
2026,3,27,0.5,C
2026,3,28,2.0,C
2026,3,29,0.0,C
2026,3,30,2.0,C
2026,3,31,0.0,C
2026,4,1,0.0,C
2026,4,2,4.5,C
2026,4,3,0.5,C
2026,4,4,13.0,C
2026,4,5,57.0,C
2026,4,6,0.5,C
2026,4,7,0.5,C
2026,4,8,0.0,C
2026,4,9,0.0,C
2026,4,10,0.0,C
2026,4,11,0.0,C
2026,4,12,0.0,C
2026,4,13,0.0,C
2026,4,14,0.0,C
2026,4,15,0.0,C
2026,4,16,0.0,C
2026,4,17,15.5,C
2026,4,18,0.0,C
2026,4,19,0.0,C
2026,4,20,0.0,C
2026,4,21,11.0,C
2026,4,22,0.0,C
2026,4,23,0.5,C
2026,4,24,36.0,C
2026,4,25,0.0,C
2026,4,26,0.0,C
2026,4,27,0.0,C
2026,4,28,7.0,C
2026,4,29,51.5,C
2026,4,30,0.0,C
2026,5,1,0.5,C
2026,5,2,2.5,C
2026,5,3,45.5,C
2026,5,4,2.5,C
2026,5,5,29.0,C
2026,5,6,0.0,C
2026,5,7,0.0,C
2026,5,8,0.0,C
2026,5,9,11.0,C
2026,5,10,0.0,C
2026,5,11,0.0,C
2026,5,12,0.0,C
2026,5,13,0.0,C
2026,5,14,5.5,C
2026,5,15,8.0,C
2026,5,16,6.5,C
2026,5,17,2.5,C
2026,5,18,1.5,C
2026,5,19,18.5,C
2026,5,20,4.5,C
2026,5,21,77.0,C
2026,5,22,0.0,C
2026,5,23,0.0,C
2026,5,24,0.0,C
2026,5,25,0.0,C
2026,5,26,0.0,C
2026,5,27,0.0,C
2026,5,28,0.0,C
2026,5,29,2.5,C
2026,5,30,0.0,C
2026,5,31,0.0,C
2026,6,1,0.0,C
2026,6,2,0.0,C
2026,6,3,0.0,C
2026,6,4,0.0,C
2026,6,5,0.0,C
2026,6,6,60.0,C
2026,6,7,19.0,C
2026,6,8,139.0,C
2026,6,9,0.0,C
2026,6,10,0.0,C
2026,6,11,0.5,C
2026,6,12,1.0,C
2026,6,13,55.5,C
2026,6,14,28.5,C
2026,6,15,126.5,C
2026,6,16,93.5,C
2026,6,17,15.5,C
2026,6,18,47.5,C
2026,6,19,0.0,C
2026,6,20,0.0,C
2026,6,21,0.0,C
2026,6,22,0.0,C
2026,6,23,0.0,C
2026,6,24,0.0,C
2026,6,25,4.0,C
2026,6,26,21.0,C
2026,6,27,0.0,C
2026,6,28,24.0,C
2026,6,29,8.0,C
2026,6,30,20.0,C
2026,7,1,4.5,C
2026,7,2,1.5,C
2026,7,3,28.0,C
2026,7,4,24.0,C
2026,7,5,16.5,C
2026,7,6,58.5,C
2026,7,7,93.5,C
2026,7,8,4.5,C
2026,7,9,8.0,C
2026,7,10,6.0,C
2026,7,11,0.0,C
2026,7,12,0.0,C
2026,7,13,0.5,C
2026,7,14,26.5,C
2026,7,15,66.0,C
2026,7,16,79.5,C
2026,7,17,16.0,C
2026,7,18,7.0,C
2026,7,19,1.0,C
2026,7,20,67.5,C
2026,7,21,1.5,C
2026,7,22,0.0,C
2026,7,23,1.0,C
2026,7,24,0.0,C
2026,7,25,3.0,C
2026,7,26,144.5,C
2026,7,27,12.5,C
2026,7,28,47.5,C
2026,7,29,41.0,C
2026,7,30,28.0,C
2026,7,31,79.0,C
2026,8,1,31.5,C
2026,8,2,110.0,C
2026,8,3,38.0,C
2026,8,4,0.0,C
