總雨量 (毫米) - 大老山
Total Rainfall (mm) - Tate's Cairn
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,1,1,0.0,C
2026,1,2,0.0,C
2026,1,3,0.0,C
2026,1,4,0.0,C
2026,1,5,0.0,C
2026,1,6,0.0,C
2026,1,7,0.0,C
2026,1,8,0.0,C
2026,1,9,0.0,C
2026,1,10,0.0,C
2026,1,11,0.0,C
2026,1,12,0.0,C
2026,1,13,0.0,C
2026,1,14,0.0,C
2026,1,15,2.0,C
2026,1,16,0.0,C
2026,1,17,0.0,C
2026,1,18,0.0,C
2026,1,19,0.0,C
2026,1,20,0.0,C
2026,1,21,0.0,C
2026,1,22,0.0,C
2026,1,23,0.0,C
2026,1,24,0.0,C
2026,1,25,0.0,C
2026,1,26,0.5,C
2026,1,27,0.0,C
2026,1,28,0.5,C
2026,1,29,0.0,C
2026,1,30,0.0,C
2026,1,31,5.0,C
2026,2,1,2.5,C
2026,2,2,0.0,C
2026,2,3,0.0,C
2026,2,4,0.0,C
2026,2,5,0.0,C
2026,2,6,0.0,C
2026,2,7,0.5,C
2026,2,8,1.0,C
2026,2,9,0.0,C
2026,2,10,0.0,C
2026,2,11,0.0,C
2026,2,12,0.5,C
2026,2,13,0.0,C
2026,2,14,0.0,C
2026,2,15,0.5,C
2026,2,16,0.0,C
2026,2,17,3.5,C
2026,2,18,0.0,C
2026,2,19,0.0,C
2026,2,20,0.0,C
2026,2,21,0.0,C
2026,2,22,0.0,C
2026,2,23,0.5,C
2026,2,24,1.5,C
2026,2,25,0.5,C
2026,2,26,2.0,C
2026,2,27,0.5,C
2026,2,28,40.5,C
2026,3,1,2.5,C
2026,3,2,9.0,C
2026,3,3,39.5,C
2026,3,4,51.5,C
2026,3,5,0.5,C
2026,3,6,0.0,C
2026,3,7,0.0,C
2026,3,8,0.0,C
2026,3,9,0.5,C
2026,3,10,1.5,C
2026,3,11,0.5,C
2026,3,12,0.0,C
2026,3,13,0.0,C
2026,3,14,0.0,C
2026,3,15,0.0,C
2026,3,16,0.0,C
2026,3,17,0.5,C
2026,3,18,0.5,C
2026,3,19,0.5,C
2026,3,20,1.5,C
2026,3,21,1.0,C
2026,3,22,1.5,C
2026,3,23,0.0,C
2026,3,24,0.0,C
2026,3,25,0.0,C
2026,3,26,0.0,C
2026,3,27,1.0,C
2026,3,28,0.5,C
2026,3,29,0.5,C
2026,3,30,3.5,C
2026,3,31,0.0,C
2026,4,1,0.5,C
2026,4,2,7.0,C
2026,4,3,0.5,C
2026,4,4,16.0,C
2026,4,5,14.5,C
2026,4,6,2.0,C
2026,4,7,0.5,C
2026,4,8,3.5,C
2026,4,9,0.0,C
2026,4,10,0.0,C
2026,4,11,0.0,C
2026,4,12,0.0,C
2026,4,13,0.0,C
2026,4,14,0.0,C
2026,4,15,0.0,C
2026,4,16,0.0,C
2026,4,17,21.5,C
2026,4,18,0.0,C
2026,4,19,0.0,C
2026,4,20,0.0,C
2026,4,21,1.0,C
2026,4,22,0.0,C
2026,4,23,3.5,C
2026,4,24,23.0,C
2026,4,25,0.0,C
2026,4,26,0.0,C
2026,4,27,0.5,C
2026,4,28,4.5,C
2026,4,29,30.5,C
2026,4,30,0.0,C
2026,5,1,0.5,C
2026,5,2,0.5,C
2026,5,3,37.0,C
2026,5,4,12.5,C
2026,5,5,22.0,C
2026,5,6,0.0,C
2026,5,7,0.5,C
2026,5,8,1.5,C
2026,5,9,27.0,C
2026,5,10,0.5,C
2026,5,11,0.0,C
2026,5,12,0.0,C
2026,5,13,0.0,C
2026,5,14,15.5,C
2026,5,15,9.5,C
2026,5,16,22.5,C
2026,5,17,26.0,C
2026,5,18,24.5,C
2026,5,19,35.0,C
2026,5,20,5.0,C
2026,5,21,66.5,C
2026,5,22,0.5,C
2026,5,23,0.0,C
2026,5,24,0.0,C
2026,5,25,0.0,C
2026,5,26,0.0,C
2026,5,27,0.0,C
2026,5,28,0.0,C
2026,5,29,17.5,C
2026,5,30,0.0,C
2026,5,31,1.0,C
2026,6,1,0.0,C
2026,6,2,0.0,C
2026,6,3,2.5,C
2026,6,4,0.0,C
2026,6,5,1.5,C
2026,6,6,58.5,C
2026,6,7,24.5,C
2026,6,8,123.5,C
2026,6,9,1.0,C
2026,6,10,0.0,C
2026,6,11,0.0,C
2026,6,12,1.0,C
2026,6,13,27.0,C
2026,6,14,9.5,C
2026,6,15,104.0,C
2026,6,16,137.0,C
2026,6,17,10.5,C
2026,6,18,54.5,C
2026,6,19,1.0,C
2026,6,20,4.0,C
2026,6,21,0.0,C
2026,6,22,0.0,C
2026,6,23,0.0,C
2026,6,24,0.0,C
2026,6,25,17.5,C
2026,6,26,8.5,C
2026,6,27,0.0,C
2026,6,28,39.5,C
2026,6,29,8.0,C
2026,6,30,22.5,C
2026,7,1,7.5,C
2026,7,2,9.5,C
2026,7,3,33.0,C
2026,7,4,23.5,C
2026,7,5,5.5,C
2026,7,6,80.0,C
2026,7,7,82.5,C
2026,7,8,35.5,C
2026,7,9,10.0,C
2026,7,10,0.0,C
2026,7,11,0.0,C
2026,7,12,0.0,C
2026,7,13,0.0,C
2026,7,14,55.5,C
2026,7,15,68.5,C
2026,7,16,99.5,C
2026,7,17,28.5,C
2026,7,18,9.5,C
2026,7,19,0.5,C
2026,7,20,61.0,C
2026,7,21,10.5,C
2026,7,22,0.0,C
2026,7,23,0.0,C
2026,7,24,0.0,C
2026,7,25,5.5,C
2026,7,26,128.5,C
2026,7,27,8.0,C
2026,7,28,81.0,C
2026,7,29,48.0,C
2026,7,30,21.0,C
2026,7,31,59.0,C
2026,8,1,32.0,C
2026,8,2,87.0,C
2026,8,3,35.5,C
2026,8,4,0.0,C
