"﻿平均氣溫 (攝氏度) - 長洲"
"Mean Temperature (°C) - Cheung Chau"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.3,C
2026,1,2,14.8,C
2026,1,3,14.0,C
2026,1,4,16.8,C
2026,1,5,17.9,C
2026,1,6,13.4,C
2026,1,7,12.8,C
2026,1,8,14.3,C
2026,1,9,14.8,C
2026,1,10,16.2,C
2026,1,11,16.8,C
2026,1,12,16.7,C
2026,1,13,18.3,C
2026,1,14,18.1,C
2026,1,15,18.7,C
2026,1,16,18.9,C
2026,1,17,20.1,C
2026,1,18,19.6,C
2026,1,19,19.1,C
2026,1,20,18.1,C
2026,1,21,15.1,C
2026,1,22,13.5,C
2026,1,23,13.5,C
2026,1,24,16.1,C
2026,1,25,17.9,C
2026,1,26,19.3,C
2026,1,27,20.4,C
2026,1,28,18.3,C
2026,1,29,17.6,#
2026,1,30,18.7,C
2026,1,31,17.5,C
2026,2,1,15.0,C
2026,2,2,16.8,C
2026,2,3,17.1,C
2026,2,4,18.4,C
2026,2,5,19.7,C
2026,2,6,20.9,C
2026,2,7,18.6,C
2026,2,8,15.9,C
2026,2,9,14.9,C
2026,2,10,17.7,C
2026,2,11,20.1,C
2026,2,12,17.9,C
2026,2,13,19.2,C
2026,2,14,20.2,C
2026,2,15,21.6,C
2026,2,16,22.4,C
2026,2,17,18.5,C
2026,2,18,18.8,C
2026,2,19,19.0,C
2026,2,20,19.9,C
2026,2,21,20.7,C
2026,2,22,21.2,C
2026,2,23,20.9,C
2026,2,24,21.4,C
2026,2,25,21.8,C
2026,2,26,20.5,C
2026,2,27,21.0,C
2026,2,28,19.6,C
2026,3,1,20.5,C
2026,3,2,21.9,C
2026,3,3,18.8,C
2026,3,4,15.7,C
2026,3,5,18.3,C
2026,3,6,18.8,C
2026,3,7,18.8,C
2026,3,8,18.7,C
2026,3,9,19.2,C
2026,3,10,16.9,C
2026,3,11,17.9,C
2026,3,12,19.4,C
2026,3,13,18.2,C
2026,3,14,18.7,C
2026,3,15,19.8,C
2026,3,16,20.1,C
2026,3,17,20.2,C
2026,3,18,22.0,C
2026,3,19,22.5,C
2026,3,20,21.2,C
2026,3,21,21.0,C
2026,3,22,21.8,C
2026,3,23,22.4,C
2026,3,24,22.9,#
2026,3,25,24.0,C
2026,3,26,23.8,C
2026,3,27,23.9,C
2026,3,28,23.9,C
2026,3,29,23.4,C
2026,3,30,23.7,C
2026,3,31,24.6,C
2026,4,1,23.5,C
2026,4,2,22.8,C
2026,4,3,24.7,C
2026,4,4,23.7,C
2026,4,5,23.0,C
2026,4,6,24.8,C
2026,4,7,25.5,C
2026,4,8,22.9,C
2026,4,9,25.2,C
2026,4,10,25.6,C
2026,4,11,25.3,C
2026,4,12,25.7,C
2026,4,13,26.2,C
2026,4,14,26.2,C
2026,4,15,26.2,C
2026,4,16,26.1,C
2026,4,17,24.2,C
2026,4,18,24.7,C
2026,4,19,25.3,C
2026,4,20,25.6,C
2026,4,21,26.0,C
2026,4,22,26.4,C
2026,4,23,25.2,C
2026,4,24,19.6,C
2026,4,25,21.9,C
2026,4,26,23.8,C
2026,4,27,24.2,C
2026,4,28,25.1,C
2026,4,29,23.5,C
2026,4,30,21.4,C
2026,5,1,23.4,C
2026,5,2,24.5,C
2026,5,3,24.2,C
2026,5,4,22.5,C
2026,5,5,20.6,C
2026,5,6,22.6,C
2026,5,7,24.8,C
2026,5,8,25.9,C
2026,5,9,22.6,C
2026,5,10,23.1,C
2026,5,11,24.7,C
2026,5,12,26.5,C
2026,5,13,27.2,C
2026,5,14,25.9,C
2026,5,15,24.3,C
2026,5,16,24.3,C
2026,5,17,24.2,C
2026,5,18,25.3,C
2026,5,19,24.6,C
2026,5,20,26.5,C
2026,5,21,26.7,C
2026,5,22,27.9,C
2026,5,23,27.7,C
2026,5,24,28.4,C
2026,5,25,28.6,C
2026,5,26,29.1,C
2026,5,27,29.2,C
2026,5,28,29.3,C
2026,5,29,29.3,C
2026,5,30,28.1,C
2026,5,31,27.6,C
2026,6,1,28.3,C
2026,6,2,29.0,C
2026,6,3,29.4,C
2026,6,4,29.7,C
2026,6,5,29.7,C
2026,6,6,26.1,C
2026,6,7,27.1,C
2026,6,8,26.3,C
2026,6,9,25.6,C
2026,6,10,25.1,C
2026,6,11,25.7,C
2026,6,12,26.1,C
2026,6,13,26.4,C
2026,6,14,27.5,C
2026,6,15,26.4,C
2026,6,16,25.2,C
2026,6,17,25.4,C
2026,6,18,26.1,C
2026,6,19,27.9,C
2026,6,20,28.2,C
2026,6,21,28.6,C
2026,6,22,28.8,C
2026,6,23,29.1,C
2026,6,24,29.7,C
2026,6,25,29.6,C
2026,6,26,26.4,C
2026,6,27,27.3,C
2026,6,28,26.6,C
2026,6,29,26.8,C
2026,6,30,26.7,C
2026,7,1,28.8,C
2026,7,2,28.9,C
2026,7,3,27.3,C
2026,7,4,27.0,C
2026,7,5,28.2,C
2026,7,6,26.8,C
2026,7,7,26.0,C
2026,7,8,26.9,C
2026,7,9,27.8,C
2026,7,10,27.5,C
2026,7,11,28.9,C
2026,7,12,29.4,C
2026,7,13,28.7,C
