"﻿平均氣溫 (攝氏度) - 香港國際機場"
"Mean Temperature (°C) - Hong Kong International Airport"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,19.1,C
2026,1,2,15.0,C
2026,1,3,13.8,C
2026,1,4,17.1,C
2026,1,5,17.8,C
2026,1,6,13.6,C
2026,1,7,13.2,C
2026,1,8,14.9,C
2026,1,9,15.2,C
2026,1,10,16.8,C
2026,1,11,17.4,C
2026,1,12,17.8,C
2026,1,13,19.0,C
2026,1,14,19.8,C
2026,1,15,20.0,C
2026,1,16,20.3,C
2026,1,17,21.1,C
2026,1,18,21.4,C
2026,1,19,20.3,C
2026,1,20,19.1,C
2026,1,21,14.9,C
2026,1,22,12.7,C
2026,1,23,13.0,C
2026,1,24,16.2,C
2026,1,25,19.3,C
2026,1,26,20.4,C
2026,1,27,20.9,C
2026,1,28,19.2,C
2026,1,29,19.0,C
2026,1,30,19.3,C
2026,1,31,17.9,C
2026,2,1,15.4,C
2026,2,2,16.8,C
2026,2,3,18.4,C
2026,2,4,19.6,C
2026,2,5,21.1,C
2026,2,6,21.7,C
2026,2,7,20.4,C
2026,2,8,16.8,C
2026,2,9,16.0,C
2026,2,10,18.8,C
2026,2,11,21.4,C
2026,2,12,19.0,C
2026,2,13,20.7,C
2026,2,14,22.2,C
2026,2,15,23.1,C
2026,2,16,23.6,C
2026,2,17,19.9,C
2026,2,18,19.6,C
2026,2,19,19.9,C
2026,2,20,21.1,C
2026,2,21,21.6,C
2026,2,22,22.8,C
2026,2,23,22.4,C
2026,2,24,22.6,C
2026,2,25,23.1,C
2026,2,26,22.3,C
2026,2,27,23.1,C
2026,2,28,21.2,C
2026,3,1,22.8,C
2026,3,2,24.4,C
2026,3,3,19.4,C
2026,3,4,16.5,C
2026,3,5,19.3,C
2026,3,6,20.0,C
2026,3,7,20.4,C
2026,3,8,20.2,C
2026,3,9,20.6,C
2026,3,10,17.4,C
2026,3,11,19.1,C
2026,3,12,20.7,C
2026,3,13,19.6,C
2026,3,14,19.8,C
2026,3,15,21.8,C
2026,3,16,22.2,C
2026,3,17,21.8,C
2026,3,18,23.6,C
2026,3,19,24.1,C
2026,3,20,23.1,C
2026,3,21,22.7,C
2026,3,22,23.7,C
2026,3,23,24.0,C
2026,3,24,24.9,C
2026,3,25,25.6,C
2026,3,26,25.4,C
2026,3,27,25.2,C
2026,3,28,25.6,C
2026,3,29,25.2,C
2026,3,30,25.7,C
2026,3,31,26.1,C
2026,4,1,24.1,C
2026,4,2,24.4,C
2026,4,3,26.7,C
2026,4,4,24.9,C
2026,4,5,25.0,C
2026,4,6,27.4,C
2026,4,7,27.6,C
2026,4,8,24.3,C
2026,4,9,26.6,C
2026,4,10,27.4,C
2026,4,11,27.1,C
2026,4,12,27.2,C
2026,4,13,27.3,C
2026,4,14,27.5,C
2026,4,15,27.3,C
2026,4,16,27.1,C
2026,4,17,25.4,C
2026,4,18,25.6,C
2026,4,19,26.8,C
2026,4,20,26.9,C
2026,4,21,27.6,C
2026,4,22,27.7,C
2026,4,23,25.1,C
2026,4,24,20.3,C
2026,4,25,23.3,C
2026,4,26,25.7,C
2026,4,27,25.9,C
2026,4,28,26.8,C
2026,4,29,25.4,C
2026,4,30,22.7,C
2026,5,1,24.8,C
2026,5,2,26.2,C
2026,5,3,25.4,C
2026,5,4,24.1,C
2026,5,5,21.9,C
2026,5,6,24.3,C
2026,5,7,27.0,C
2026,5,8,27.3,C
2026,5,9,24.4,C
2026,5,10,25.2,C
2026,5,11,26.3,C
2026,5,12,28.0,C
2026,5,13,28.8,C
2026,5,14,28.2,C
2026,5,15,26.8,C
2026,5,16,25.4,C
2026,5,17,25.3,C
2026,5,18,26.7,C
2026,5,19,26.0,C
2026,5,20,28.5,C
2026,5,21,28.5,C
2026,5,22,29.3,C
2026,5,23,29.6,C
2026,5,24,30.1,C
2026,5,25,30.4,C
2026,5,26,30.7,C
2026,5,27,31.0,C
2026,5,28,31.4,C
2026,5,29,31.0,C
2026,5,30,30.2,C
2026,5,31,28.7,C
2026,6,1,29.5,C
2026,6,2,30.5,C
2026,6,3,30.7,C
2026,6,4,31.2,C
2026,6,5,31.6,C
2026,6,6,28.8,C
2026,6,7,29.3,C
2026,6,8,28.8,C
2026,6,9,27.0,C
2026,6,10,26.9,C
2026,6,11,27.5,C
2026,6,12,28.1,C
2026,6,13,28.7,C
2026,6,14,29.7,C
2026,6,15,28.0,C
2026,6,16,26.7,C
2026,6,17,27.3,C
2026,6,18,27.4,C
2026,6,19,30.3,C
2026,6,20,30.1,C
2026,6,21,30.3,C
2026,6,22,30.5,C
2026,6,23,30.9,C
2026,6,24,31.4,C
2026,6,25,31.2,C
2026,6,26,28.8,C
2026,6,27,29.5,C
2026,6,28,28.3,C
2026,6,29,29.0,C
2026,6,30,29.2,C
2026,7,1,31.1,C
2026,7,2,30.6,C
2026,7,3,28.8,C
2026,7,4,28.9,C
2026,7,5,30.0,C
2026,7,6,29.3,C
2026,7,7,28.2,C
2026,7,8,29.1,C
2026,7,9,29.7,C
2026,7,10,29.6,C
2026,7,11,30.6,C
2026,7,12,31.6,C
2026,7,13,31.0,C
2026,7,14,27.8,C
2026,7,15,27.9,C
2026,7,16,27.3,C
2026,7,17,28.3,C
2026,7,18,29.5,C
2026,7,19,30.1,C
2026,7,20,28.9,C
2026,7,21,29.2,C
2026,7,22,29.9,C
2026,7,23,30.6,C
2026,7,24,30.9,C
2026,7,25,30.1,C
2026,7,26,27.0,C
2026,7,27,28.0,C
2026,7,28,27.7,C
2026,7,29,27.1,C
2026,7,30,27.5,C
2026,7,31,26.2,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
