"﻿平均氣溫 (攝氏度) - 將軍澳"
"Mean Temperature (°C) - Tseung Kwan O"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.2,C
2026,1,2,14.2,C
2026,1,3,13.3,C
2026,1,4,16.1,C
2026,1,5,17.1,C
2026,1,6,13.6,C
2026,1,7,12.4,C
2026,1,8,13.5,C
2026,1,9,13.8,C
2026,1,10,15.0,C
2026,1,11,16.0,C
2026,1,12,15.8,C
2026,1,13,16.8,C
2026,1,14,16.9,C
2026,1,15,17.5,C
2026,1,16,17.4,C
2026,1,17,18.8,C
2026,1,18,18.7,C
2026,1,19,18.1,C
2026,1,20,17.9,C
2026,1,21,14.8,C
2026,1,22,13.3,C
2026,1,23,13.4,C
2026,1,24,15.6,C
2026,1,25,17.8,C
2026,1,26,18.8,C
2026,1,27,20.3,C
2026,1,28,17.9,C
2026,1,29,17.7,C
2026,1,30,18.5,C
2026,1,31,17.0,C
2026,2,1,15.1,C
2026,2,2,14.9,#
2026,2,3,17.0,C
2026,2,4,17.5,C
2026,2,5,19.0,C
2026,2,6,20.0,C
2026,2,7,18.2,C
2026,2,8,15.3,C
2026,2,9,14.6,C
2026,2,10,17.1,C
2026,2,11,20.1,C
2026,2,12,17.3,C
2026,2,13,18.6,C
2026,2,14,19.8,C
2026,2,15,21.2,C
2026,2,16,22.7,C
2026,2,17,18.2,C
2026,2,18,18.6,C
2026,2,19,18.6,C
2026,2,20,19.1,C
2026,2,21,19.7,C
2026,2,22,20.7,C
2026,2,23,20.3,C
2026,2,24,21.1,C
2026,2,25,21.7,C
2026,2,26,19.3,C
2026,2,27,20.2,C
2026,2,28,19.0,C
2026,3,1,18.9,C
2026,3,2,21.4,C
2026,3,3,18.6,C
2026,3,4,15.4,C
2026,3,5,18.6,C
2026,3,6,18.6,C
2026,3,7,18.8,C
2026,3,8,18.5,C
2026,3,9,19.2,C
2026,3,10,16.6,C
2026,3,11,17.2,C
2026,3,12,18.7,C
2026,3,13,18.3,C
2026,3,14,18.0,C
2026,3,15,19.3,C
2026,3,16,19.2,C
2026,3,17,20.2,C
2026,3,18,22.3,C
2026,3,19,22.6,C
2026,3,20,20.5,C
2026,3,21,20.3,C
2026,3,22,20.9,C
2026,3,23,21.5,C
2026,3,24,22.8,C
2026,3,25,23.8,C
2026,3,26,23.3,C
2026,3,27,22.8,C
2026,3,28,23.1,C
2026,3,29,22.2,C
2026,3,30,24.4,C
2026,3,31,24.7,C
2026,4,1,24.0,C
2026,4,2,21.7,C
2026,4,3,24.5,C
2026,4,4,23.9,C
2026,4,5,22.8,C
2026,4,6,25.6,C
2026,4,7,26.4,C
2026,4,8,22.4,C
2026,4,9,24.6,C
2026,4,10,26.5,C
2026,4,11,25.7,C
2026,4,12,25.8,C
2026,4,13,26.3,C
2026,4,14,26.0,C
2026,4,15,25.8,C
2026,4,16,25.7,C
2026,4,17,24.1,C
2026,4,18,24.7,C
2026,4,19,25.5,C
2026,4,20,25.5,C
2026,4,21,26.0,C
2026,4,22,26.6,C
2026,4,23,25.9,C
2026,4,24,19.9,C
2026,4,25,22.0,C
2026,4,26,23.8,C
2026,4,27,23.8,C
2026,4,28,24.8,C
2026,4,29,23.9,C
2026,4,30,21.0,C
2026,5,1,22.4,C
2026,5,2,23.8,C
2026,5,3,24.2,C
2026,5,4,22.6,C
2026,5,5,20.2,C
2026,5,6,22.2,C
2026,5,7,24.4,C
2026,5,8,25.9,C
2026,5,9,22.8,C
2026,5,10,22.8,C
2026,5,11,24.2,C
2026,5,12,27.1,C
2026,5,13,28.0,C
2026,5,14,26.5,C
2026,5,15,24.7,C
2026,5,16,23.8,C
2026,5,17,23.8,C
2026,5,18,24.6,C
2026,5,19,24.9,C
2026,5,20,27.0,C
2026,5,21,27.2,C
2026,5,22,28.4,C
2026,5,23,28.5,C
2026,5,24,29.2,C
2026,5,25,29.5,C
2026,5,26,29.4,C
2026,5,27,30.4,C
2026,5,28,30.4,C
2026,5,29,30.3,C
2026,5,30,27.8,C
2026,5,31,27.7,C
2026,6,1,27.8,C
2026,6,2,29.8,C
2026,6,3,29.5,C
2026,6,4,30.5,C
2026,6,5,30.2,C
2026,6,6,26.3,C
2026,6,7,27.1,C
2026,6,8,26.9,C
2026,6,9,25.6,C
2026,6,10,24.8,C
2026,6,11,25.4,C
2026,6,12,26.1,C
2026,6,13,26.6,C
2026,6,14,28.0,C
2026,6,15,26.1,C
2026,6,16,25.3,C
