"﻿平均氣溫 (攝氏度) - 京士柏"
"Mean Temperature (°C) - King's Park"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.1,C
2026,1,2,14.2,C
2026,1,3,13.4,C
2026,1,4,16.8,C
2026,1,5,17.9,C
2026,1,6,13.3,C
2026,1,7,12.9,C
2026,1,8,14.5,C
2026,1,9,15.2,C
2026,1,10,16.8,C
2026,1,11,17.1,C
2026,1,12,16.8,C
2026,1,13,18.3,C
2026,1,14,18.2,C
2026,1,15,18.8,C
2026,1,16,19.5,C
2026,1,17,20.2,C
2026,1,18,19.7,C
2026,1,19,18.9,C
2026,1,20,17.9,C
2026,1,21,14.7,C
2026,1,22,13.2,C
2026,1,23,13.8,C
2026,1,24,16.3,C
2026,1,25,17.7,C
2026,1,26,19.3,C
2026,1,27,20.7,C
2026,1,28,18.0,C
2026,1,29,17.4,C
2026,1,30,18.7,C
2026,1,31,17.5,C
2026,2,1,15.2,C
2026,2,2,17.0,C
2026,2,3,16.9,C
2026,2,4,18.3,C
2026,2,5,20.3,C
2026,2,6,21.6,C
2026,2,7,18.8,C
2026,2,8,15.6,C
2026,2,9,14.7,C
2026,2,10,17.3,C
2026,2,11,20.7,C
2026,2,12,17.6,C
2026,2,13,19.7,C
2026,2,14,21.5,C
2026,2,15,22.3,C
2026,2,16,23.6,C
2026,2,17,18.6,C
2026,2,18,18.8,C
2026,2,19,18.9,C
2026,2,20,20.2,C
2026,2,21,20.3,C
2026,2,22,21.9,C
2026,2,23,20.9,C
2026,2,24,21.7,C
2026,2,25,22.2,C
2026,2,26,19.9,C
2026,2,27,20.9,C
2026,2,28,19.4,C
2026,3,1,19.4,C
2026,3,2,22.2,C
2026,3,3,19.2,C
2026,3,4,15.8,C
2026,3,5,18.9,C
2026,3,6,19.4,C
2026,3,7,18.7,C
2026,3,8,18.4,C
2026,3,9,19.0,C
2026,3,10,16.8,C
2026,3,11,18.0,C
2026,3,12,19.6,C
2026,3,13,18.0,C
2026,3,14,18.6,C
2026,3,15,19.9,C
2026,3,16,20.0,C
2026,3,17,20.5,C
2026,3,18,22.8,C
2026,3,19,23.4,C
2026,3,20,20.8,C
2026,3,21,20.8,C
2026,3,22,21.7,C
2026,3,23,22.7,C
2026,3,24,23.5,C
2026,3,25,24.7,C
