"﻿平均氣溫 (攝氏度) - 坪洲"
"Mean Temperature (°C) - Peng Chau"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.6,C
2026,1,2,14.5,C
2026,1,3,13.6,C
2026,1,4,16.9,C
2026,1,5,17.8,C
2026,1,6,13.5,C
2026,1,7,13.0,C
2026,1,8,14.2,C
2026,1,9,14.8,C
2026,1,10,16.3,C
2026,1,11,16.8,C
2026,1,12,16.9,C
2026,1,13,18.0,C
2026,1,14,18.2,C
2026,1,15,18.3,C
2026,1,16,19.2,C
2026,1,17,20.3,C
2026,1,18,19.6,C
2026,1,19,19.2,C
2026,1,20,18.3,C
2026,1,21,15.0,C
2026,1,22,13.4,C
2026,1,23,13.6,C
2026,1,24,16.3,C
2026,1,25,18.1,C
2026,1,26,19.4,C
2026,1,27,20.6,C
2026,1,28,18.7,C
2026,1,29,18.1,C
2026,1,30,19.0,C
2026,1,31,17.8,C
2026,2,1,15.6,C
2026,2,2,16.8,C
2026,2,3,17.7,C
2026,2,4,18.6,C
2026,2,5,20.0,C
2026,2,6,21.1,C
2026,2,7,19.2,C
2026,2,8,16.2,C
2026,2,9,15.4,C
2026,2,10,17.8,C
2026,2,11,20.7,C
2026,2,12,18.3,C
2026,2,13,19.7,C
2026,2,14,21.0,C
2026,2,15,22.4,C
2026,2,16,23.6,C
2026,2,17,19.1,C
2026,2,18,19.5,C
2026,2,19,19.6,C
2026,2,20,20.4,C
2026,2,21,21.2,C
2026,2,22,21.6,C
2026,2,23,20.9,C
2026,2,24,22.0,C
2026,2,25,22.5,C
2026,2,26,20.5,C
2026,2,27,21.7,C
2026,2,28,20.1,C
2026,3,1,20.4,C
2026,3,2,22.4,C
2026,3,3,18.9,C
2026,3,4,15.9,C
2026,3,5,19.1,C
2026,3,6,19.6,C
2026,3,7,19.3,C
2026,3,8,19.5,C
2026,3,9,20.1,C
2026,3,10,17.2,C
2026,3,11,18.3,C
2026,3,12,20.2,C
2026,3,13,18.5,C
2026,3,14,19.4,C
2026,3,15,20.7,C
2026,3,16,20.8,C
2026,3,17,20.8,C
2026,3,18,22.8,C
2026,3,19,23.2,C
2026,3,20,21.5,C
2026,3,21,21.3,C
2026,3,22,22.1,C
2026,3,23,22.8,C
2026,3,24,23.9,C
2026,3,25,24.3,C
2026,3,26,24.6,C
2026,3,27,24.5,C
2026,3,28,24.7,C
2026,3,29,23.9,C
2026,3,30,24.7,C
2026,3,31,24.9,C
2026,4,1,24.1,C
2026,4,2,23.2,C
2026,4,3,25.0,C
2026,4,4,24.3,C
2026,4,5,23.8,C
2026,4,6,25.3,C
2026,4,7,25.8,C
2026,4,8,23.3,C
2026,4,9,25.7,C
2026,4,10,26.3,C
2026,4,11,26.0,C
2026,4,12,26.4,C
2026,4,13,26.6,C
2026,4,14,26.6,C
2026,4,15,26.4,C
2026,4,16,26.5,C
2026,4,17,24.4,C
2026,4,18,25.3,C
2026,4,19,26.3,C
2026,4,20,26.3,C
2026,4,21,26.6,C
2026,4,22,26.7,C
2026,4,23,25.0,C
2026,4,24,19.7,C
2026,4,25,23.1,C
2026,4,26,25.1,C
2026,4,27,25.1,C
2026,4,28,25.8,C
2026,4,29,24.5,C
2026,4,30,22.2,C
2026,5,1,23.9,C
2026,5,2,25.4,C
2026,5,3,24.4,C
2026,5,4,23.6,C
2026,5,5,21.4,C
2026,5,6,23.5,C
2026,5,7,26.0,C
2026,5,8,26.7,C
2026,5,9,23.6,C
2026,5,10,24.1,C
2026,5,11,25.4,C
2026,5,12,26.9,C
2026,5,13,28.2,C
2026,5,14,26.8,C
2026,5,15,25.7,C
2026,5,16,25.1,C
2026,5,17,24.9,C
2026,5,18,26.0,C
2026,5,19,25.6,C
2026,5,20,27.3,C
2026,5,21,27.2,C
2026,5,22,28.5,C
2026,5,23,28.5,C
2026,5,24,29.3,C
2026,5,25,29.8,C
2026,5,26,29.6,C
2026,5,27,30.1,C
2026,5,28,30.3,C
2026,5,29,30.4,C
2026,5,30,29.2,C
2026,5,31,28.8,C
2026,6,1,29.1,C
2026,6,2,29.6,C
2026,6,3,30.0,C
2026,6,4,30.2,C
2026,6,5,30.2,C
2026,6,6,27.2,C
2026,6,7,28.0,C
2026,6,8,27.3,C
2026,6,9,26.1,C
2026,6,10,26.1,C
2026,6,11,26.8,C
2026,6,12,27.2,C
2026,6,13,27.1,C
2026,6,14,28.3,C
2026,6,15,27.1,C
2026,6,16,25.8,C
2026,6,17,26.3,C
2026,6,18,26.6,C
2026,6,19,28.9,C
2026,6,20,29.3,C
2026,6,21,29.5,C
2026,6,22,30.0,C
2026,6,23,30.0,C
2026,6,24,30.4,C
2026,6,25,30.5,C
2026,6,26,27.5,C
2026,6,27,28.2,C
2026,6,28,27.4,C
2026,6,29,28.2,C
2026,6,30,28.2,C
2026,7,1,29.7,C
2026,7,2,29.8,C
2026,7,3,28.4,C
2026,7,4,28.0,C
2026,7,5,29.3,C
2026,7,6,27.8,C
2026,7,7,26.7,C
2026,7,8,27.8,C
2026,7,9,28.9,C
2026,7,10,28.8,C
2026,7,11,30.1,C
2026,7,12,30.4,C
2026,7,13,30.0,C
2026,7,14,27.2,C
2026,7,15,26.6,C
2026,7,16,25.9,C
2026,7,17,26.9,C
