"﻿平均氣溫 (攝氏度) - 大美督"
"Mean Temperature (°C) - Tai Mei Tuk"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.0,C
2026,1,2,***,
2026,1,3,***,
2026,1,4,***,
2026,1,5,***,
2026,1,6,***,
2026,1,7,***,
2026,1,8,15.8,#
2026,1,9,14.7,C
2026,1,10,16.2,C
2026,1,11,16.6,C
2026,1,12,16.2,C
2026,1,13,17.8,C
2026,1,14,17.1,C
2026,1,15,18.3,C
2026,1,16,18.2,C
2026,1,17,18.9,C
2026,1,18,19.2,C
2026,1,19,18.2,C
2026,1,20,17.3,C
2026,1,21,13.6,C
2026,1,22,12.4,C
2026,1,23,12.8,C
2026,1,24,15.7,C
2026,1,25,17.3,C
2026,1,26,18.9,C
2026,1,27,20.2,C
2026,1,28,17.6,C
2026,1,29,17.2,C
2026,1,30,18.2,C
2026,1,31,16.4,C
2026,2,1,14.3,C
2026,2,2,16.4,C
2026,2,3,16.8,C
2026,2,4,17.9,C
2026,2,5,19.5,C
2026,2,6,20.8,C
2026,2,7,18.6,C
2026,2,8,15.1,C
2026,2,9,14.3,C
2026,2,10,16.9,C
2026,2,11,20.5,C
2026,2,12,17.2,C
2026,2,13,19.1,C
2026,2,14,20.5,C
2026,2,15,21.6,C
2026,2,16,23.1,C
2026,2,17,18.3,C
2026,2,18,18.6,C
2026,2,19,18.8,C
2026,2,20,20.1,C
2026,2,21,20.0,C
2026,2,22,21.6,C
2026,2,23,20.2,C
2026,2,24,21.6,C
2026,2,25,21.8,C
2026,2,26,19.8,C
2026,2,27,20.8,C
2026,2,28,18.7,C
2026,3,1,18.8,C
2026,3,2,21.7,C
2026,3,3,18.1,C
2026,3,4,15.0,C
2026,3,5,18.4,C
2026,3,6,18.5,C
2026,3,7,18.7,C
2026,3,8,18.8,C
2026,3,9,19.3,C
2026,3,10,16.3,C
2026,3,11,17.7,C
2026,3,12,19.2,C
2026,3,13,17.9,C
2026,3,14,18.3,C
2026,3,15,19.9,C
2026,3,16,19.8,C
2026,3,17,20.1,C
2026,3,18,22.7,C
2026,3,19,23.0,C
2026,3,20,20.6,C
2026,3,21,20.5,C
2026,3,22,21.5,C
2026,3,23,22.2,C
2026,3,24,23.3,C
2026,3,25,24.8,C
2026,3,26,23.6,C
2026,3,27,23.0,C
2026,3,28,22.8,C
2026,3,29,22.7,C
2026,3,30,23.8,C
2026,3,31,24.7,C
2026,4,1,23.9,C
2026,4,2,21.5,C
2026,4,3,24.5,C
2026,4,4,23.4,C
2026,4,5,22.4,C
2026,4,6,25.9,C
2026,4,7,26.5,C
2026,4,8,21.4,C
2026,4,9,24.6,C
2026,4,10,26.5,C
2026,4,11,25.6,C
2026,4,12,26.2,C
2026,4,13,26.4,C
2026,4,14,26.5,C
2026,4,15,26.4,C
2026,4,16,26.3,C
2026,4,17,24.1,C
2026,4,18,25.4,C
2026,4,19,25.9,C
2026,4,20,25.7,C
