"﻿平均氣溫 (攝氏度) - 石崗"
"Mean Temperature (°C) - Shek Kong"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,17.6,C
2026,1,2,13.7,C
2026,1,3,12.9,C
2026,1,4,15.6,C
2026,1,5,15.9,C
2026,1,6,12.9,C
2026,1,7,11.5,C
2026,1,8,12.4,C
2026,1,9,12.3,C
2026,1,10,13.7,C
2026,1,11,14.9,C
2026,1,12,16.7,C
2026,1,13,16.6,C
2026,1,14,17.3,C
2026,1,15,17.8,C
2026,1,16,18.1,C
2026,1,17,19.4,C
2026,1,18,20.6,C
2026,1,19,18.6,C
2026,1,20,18.3,C
2026,1,21,13.9,C
2026,1,22,12.3,C
2026,1,23,12.4,C
2026,1,24,15.8,C
2026,1,25,18.7,C
2026,1,26,20.1,C
2026,1,27,21.0,C
2026,1,28,18.9,C
2026,1,29,18.5,C
2026,1,30,19.0,C
2026,1,31,17.4,C
2026,2,1,15.7,C
2026,2,2,16.4,C
2026,2,3,18.0,C
2026,2,4,19.8,C
2026,2,5,20.5,C
2026,2,6,20.9,C
2026,2,7,19.5,C
2026,2,8,15.7,C
2026,2,9,15.6,C
2026,2,10,18.2,C
2026,2,11,20.5,C
2026,2,12,18.4,C
2026,2,13,19.9,C
2026,2,14,21.1,C
2026,2,15,22.1,C
2026,2,16,23.1,C
2026,2,17,19.5,C
2026,2,18,19.5,C
2026,2,19,19.5,C
2026,2,20,20.2,C
2026,2,21,20.4,C
2026,2,22,21.6,C
2026,2,23,21.4,C
2026,2,24,22.9,C
2026,2,25,22.7,C
2026,2,26,21.6,C
2026,2,27,22.7,C
2026,2,28,20.5,C
2026,3,1,22.3,C
2026,3,2,24.0,C
2026,3,3,18.7,C
2026,3,4,15.2,C
2026,3,5,19.1,C
2026,3,6,19.0,C
2026,3,7,20.1,C
2026,3,8,20.4,C
2026,3,9,20.4,C
2026,3,10,16.9,C
2026,3,11,18.1,C
2026,3,12,19.7,C
2026,3,13,18.9,C
2026,3,14,19.6,C
2026,3,15,20.7,C
2026,3,16,20.9,C
2026,3,17,20.7,C
2026,3,18,22.3,C
2026,3,19,23.3,C
2026,3,20,22.7,C
2026,3,21,22.4,C
2026,3,22,23.3,C
2026,3,23,23.1,C
2026,3,24,24.0,C
2026,3,25,24.9,C
2026,3,26,24.6,C
2026,3,27,24.1,C
2026,3,28,24.5,C
2026,3,29,24.7,C
2026,3,30,24.9,C
2026,3,31,25.2,C
2026,4,1,24.3,C
2026,4,2,23.7,C
2026,4,3,25.8,C
2026,4,4,24.1,C
2026,4,5,24.1,C
2026,4,6,26.4,C
2026,4,7,27.1,C
2026,4,8,23.9,C
2026,4,9,26.1,C
2026,4,10,26.7,C
2026,4,11,26.7,C
2026,4,12,27.2,C
2026,4,13,27.2,C
2026,4,14,26.8,C
2026,4,15,26.2,C
2026,4,16,26.2,C
2026,4,17,23.7,C
2026,4,18,24.6,C
2026,4,19,25.9,C
2026,4,20,25.9,C
2026,4,21,26.7,C
2026,4,22,26.9,C
2026,4,23,24.8,C
2026,4,24,18.8,C
2026,4,25,22.4,C
2026,4,26,24.5,C
2026,4,27,24.7,C
2026,4,28,26.3,C
2026,4,29,24.8,C
2026,4,30,21.5,C
2026,5,1,23.7,C
2026,5,2,25.6,C
2026,5,3,24.0,C
2026,5,4,23.3,C
2026,5,5,21.3,C
2026,5,6,23.6,C
2026,5,7,26.4,C
2026,5,8,26.5,C
2026,5,9,23.5,C
2026,5,10,24.1,C
2026,5,11,25.0,C
2026,5,12,27.0,C
2026,5,13,28.1,C
2026,5,14,27.3,C
2026,5,15,26.0,C
2026,5,16,24.6,C
2026,5,17,24.2,C
2026,5,18,25.8,C
2026,5,19,25.3,C
2026,5,20,27.5,C
2026,5,21,26.8,C
2026,5,22,28.3,C
2026,5,23,28.6,C
2026,5,24,29.4,C
2026,5,25,29.8,C
2026,5,26,29.9,C
2026,5,27,30.7,C
2026,5,28,30.7,C
2026,5,29,30.5,C
2026,5,30,29.1,C
2026,5,31,27.9,C
2026,6,1,28.9,C
2026,6,2,29.7,C
2026,6,3,30.3,C
2026,6,4,30.8,C
2026,6,5,30.1,C
2026,6,6,27.1,C
2026,6,7,27.9,C
2026,6,8,27.3,C
2026,6,9,25.6,C
2026,6,10,25.6,C
2026,6,11,26.7,C
2026,6,12,26.8,C
2026,6,13,27.0,C
2026,6,14,28.7,C
2026,6,15,26.7,C
2026,6,16,25.4,C
2026,6,17,26.5,C
2026,6,18,25.8,#
2026,6,19,***,
2026,6,20,***,
2026,6,21,***,
2026,6,22,***,
2026,6,23,***,
2026,6,24,***,
2026,6,25,***,
2026,6,26,***,
2026,6,27,***,
2026,6,28,***,
2026,6,29,***,
2026,6,30,***,
2026,7,1,***,
2026,7,2,***,
2026,7,3,***,
2026,7,4,***,
2026,7,5,***,
2026,7,6,***,
2026,7,7,***,
2026,7,8,***,
2026,7,9,***,
2026,7,10,***,
2026,7,11,***,
2026,7,12,***,
2026,7,13,31.2,#
2026,7,14,27.7,C
2026,7,15,27.0,C
2026,7,16,26.0,C
2026,7,17,27.1,C
2026,7,18,28.5,#
2026,7,19,***,
2026,7,20,***,
2026,7,21,***,
2026,7,22,***,
2026,7,23,***,
2026,7,24,***,
2026,7,25,***,
2026,7,26,***,
2026,7,27,***,
2026,7,28,***,
2026,7,29,***,
2026,7,30,***,
2026,7,31,***,
2026,8,1,***,
2026,8,2,***,
2026,8,3,***,
2026,8,4,***,
2026,8,5,***,
2026,8,6,***,
2026,8,7,***,
2026,8,8,***,
2026,8,9,***,
2026,8,10,***,
2026,8,11,***,
2026,8,12,***,
2026,8,13,***,
2026,8,14,***,
2026,8,15,***,
2026,8,16,***,
2026,8,17,28.2,#
2026,8,18,29.8,C
2026,8,19,30.2,C
2026,8,20,28.2,C
2026,8,21,28.6,C
2026,8,22,29.0,C
2026,8,23,30.0,C
2026,8,24,30.3,C
2026,8,25,28.5,C
2026,8,26,28.5,C
2026,8,27,27.8,C
2026,8,28,29.2,C
2026,8,29,30.1,C
2026,8,30,28.3,C
2026,8,31,27.1,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
