"﻿平均氣溫 (攝氏度) - 沙田"
"Mean Temperature (°C) - Sha Tin"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.3,C
2026,1,2,14.2,C
2026,1,3,12.9,C
2026,1,4,16.0,C
2026,1,5,16.4,C
2026,1,6,13.1,C
2026,1,7,12.6,C
2026,1,8,13.0,C
2026,1,9,13.4,C
2026,1,10,13.7,C
2026,1,11,16.3,C
2026,1,12,15.9,C
2026,1,13,16.4,C
2026,1,14,16.4,C
2026,1,15,17.4,C
2026,1,16,17.3,C
2026,1,17,18.3,C
2026,1,18,19.4,C
2026,1,19,18.3,C
2026,1,20,17.8,C
2026,1,21,14.1,C
2026,1,22,12.6,C
2026,1,23,12.8,C
2026,1,24,15.6,C
2026,1,25,17.9,C
2026,1,26,19.5,C
2026,1,27,20.9,C
2026,1,28,18.2,C
2026,1,29,17.5,C
2026,1,30,18.7,C
2026,1,31,16.9,C
2026,2,1,14.9,C
2026,2,2,16.3,C
2026,2,3,16.9,C
2026,2,4,18.4,C
2026,2,5,19.4,C
2026,2,6,20.3,C
2026,2,7,18.7,C
2026,2,8,15.7,C
2026,2,9,14.9,C
2026,2,10,17.4,C
2026,2,11,20.4,C
2026,2,12,17.6,C
2026,2,13,19.2,C
2026,2,14,20.5,C
2026,2,15,21.2,C
2026,2,16,23.2,C
2026,2,17,18.9,C
2026,2,18,18.8,C
2026,2,19,18.8,C
2026,2,20,19.8,C
2026,2,21,19.9,C
2026,2,22,21.4,C
2026,2,23,20.4,C
2026,2,24,21.7,C
2026,2,25,22.0,C
2026,2,26,20.1,C
2026,2,27,21.5,C
2026,2,28,19.6,C
2026,3,1,19.9,C
2026,3,2,22.7,C
2026,3,3,18.9,C
2026,3,4,15.8,C
2026,3,5,19.2,C
2026,3,6,19.2,C
2026,3,7,19.0,C
2026,3,8,18.9,C
2026,3,9,19.5,C
2026,3,10,16.8,C
2026,3,11,17.7,C
2026,3,12,18.9,C
2026,3,13,18.1,C
2026,3,14,18.3,C
2026,3,15,20.1,C
2026,3,16,20.1,C
2026,3,17,20.8,C
2026,3,18,23.0,C
2026,3,19,23.1,C
2026,3,20,21.0,C
2026,3,21,21.0,C
2026,3,22,22.0,C
2026,3,23,22.2,C
2026,3,24,23.2,C
2026,3,25,24.7,C
2026,3,26,24.3,C
2026,3,27,23.7,C
2026,3,28,23.9,C
2026,3,29,23.3,C
2026,3,30,24.9,C
