"﻿平均氣溫 (攝氏度) - 筲箕灣"
"Mean Temperature (°C) - Shau Kei Wan"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,17.9,C
2026,1,2,14.6,C
2026,1,3,13.5,C
2026,1,4,16.5,C
2026,1,5,18.2,C
2026,1,6,13.6,C
2026,1,7,13.1,C
2026,1,8,14.7,C
2026,1,9,14.8,C
2026,1,10,16.8,C
2026,1,11,16.9,C
2026,1,12,16.5,C
2026,1,13,18.4,C
2026,1,14,18.0,C
2026,1,15,18.3,C
2026,1,16,19.5,C
2026,1,17,20.2,C
2026,1,18,19.2,C
2026,1,19,18.6,C
2026,1,20,17.7,C
2026,1,21,14.8,C
2026,1,22,13.2,C
2026,1,23,13.7,C
2026,1,24,16.0,C
2026,1,25,17.4,C
2026,1,26,18.8,C
2026,1,27,20.3,C
2026,1,28,17.7,C
2026,1,29,17.3,C
2026,1,30,18.3,C
2026,1,31,17.2,C
2026,2,1,15.2,C
2026,2,2,16.6,C
2026,2,3,16.8,C
2026,2,4,17.6,C
2026,2,5,19.9,C
2026,2,6,21.1,C
2026,2,7,18.5,C
2026,2,8,15.6,C
2026,2,9,14.5,C
2026,2,10,17.1,C
2026,2,11,20.1,C
2026,2,12,17.4,C
2026,2,13,18.9,C
2026,2,14,20.4,C
2026,2,15,21.7,C
2026,2,16,22.5,C
2026,2,17,18.2,C
2026,2,18,18.2,C
2026,2,19,18.4,C
2026,2,20,19.8,C
2026,2,21,20.0,C
2026,2,22,21.3,C
2026,2,23,20.3,C
2026,2,24,20.8,C
2026,2,25,21.5,C
2026,2,26,19.3,C
2026,2,27,20.2,C
2026,2,28,19.1,C
2026,3,1,19.1,C
2026,3,2,21.4,C
2026,3,3,18.9,C
2026,3,4,15.7,C
2026,3,5,18.8,C
2026,3,6,19.6,C
2026,3,7,18.5,C
2026,3,8,18.1,C
2026,3,9,18.7,C
2026,3,10,16.7,C
2026,3,11,17.8,C
2026,3,12,19.4,C
2026,3,13,17.9,C
2026,3,14,18.3,C
2026,3,15,19.3,C
2026,3,16,19.6,C
2026,3,17,20.2,C
2026,3,18,22.4,C
2026,3,19,23.0,C
2026,3,20,20.5,C
2026,3,21,20.3,C
2026,3,22,21.1,C
2026,3,23,22.0,C
2026,3,24,22.7,C
2026,3,25,24.4,C
2026,3,26,23.3,C
2026,3,27,22.6,C
2026,3,28,23.1,C
2026,3,29,22.2,C
2026,3,30,24.2,C
2026,3,31,25.1,C
2026,4,1,24.0,C
2026,4,2,21.8,C
2026,4,3,24.8,C
2026,4,4,24.5,C
2026,4,5,23.1,C
