"﻿平均氣溫 (攝氏度) - 上水"
"Mean Temperature (°C) - Sheung Shui"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.2,C
2026,1,2,13.9,C
2026,1,3,13.1,C
2026,1,4,15.2,C
2026,1,5,16.0,C
2026,1,6,13.0,C
2026,1,7,11.6,C
2026,1,8,13.0,C
2026,1,9,12.5,C
2026,1,10,13.6,C
2026,1,11,14.9,C
2026,1,12,16.3,C
2026,1,13,16.8,C
2026,1,14,17.1,C
2026,1,15,18.2,C
2026,1,16,18.6,C
2026,1,17,19.4,C
2026,1,18,20.3,C
2026,1,19,19.1,C
2026,1,20,18.4,C
2026,1,21,13.8,C
2026,1,22,12.0,C
2026,1,23,12.5,C
2026,1,24,15.6,C
2026,1,25,18.5,C
2026,1,26,20.4,C
2026,1,27,21.3,C
2026,1,28,19.0,C
2026,1,29,18.3,C
2026,1,30,18.9,C
2026,1,31,17.6,C
2026,2,1,15.7,C
2026,2,2,16.4,C
2026,2,3,17.4,C
2026,2,4,19.6,C
2026,2,5,20.5,C
2026,2,6,20.8,C
2026,2,7,19.7,C
2026,2,8,16.0,C
2026,2,9,15.3,C
2026,2,10,18.1,C
2026,2,11,20.7,C
2026,2,12,18.4,C
2026,2,13,20.5,C
2026,2,14,21.1,C
2026,2,15,22.0,C
2026,2,16,24.0,C
2026,2,17,19.7,C
2026,2,18,19.6,C
2026,2,19,19.5,C
2026,2,20,20.3,C
2026,2,21,19.8,C
2026,2,22,21.6,C
2026,2,23,20.9,C
2026,2,24,22.8,C
2026,2,25,22.8,C
2026,2,26,21.2,C
2026,2,27,22.1,C
2026,2,28,20.0,C
2026,3,1,20.7,C
2026,3,2,23.4,C
2026,3,3,18.7,C
2026,3,4,15.2,C
2026,3,5,19.0,C
2026,3,6,19.3,C
2026,3,7,19.9,C
2026,3,8,20.3,C
2026,3,9,20.6,C
2026,3,10,17.2,C
2026,3,11,18.4,C
2026,3,12,19.9,C
2026,3,13,19.1,C
2026,3,14,19.9,C
2026,3,15,21.4,C
2026,3,16,21.6,C
2026,3,17,21.3,C
2026,3,18,23.0,C
2026,3,19,23.2,C
2026,3,20,22.4,C
2026,3,21,22.2,C
2026,3,22,23.3,C
2026,3,23,23.3,C
2026,3,24,23.9,C
2026,3,25,25.4,C
2026,3,26,24.0,C
2026,3,27,24.5,C
2026,3,28,24.6,C
2026,3,29,24.4,C
2026,3,30,24.3,C
2026,3,31,24.9,C
2026,4,1,24.8,C
2026,4,2,23.3,C
2026,4,3,25.6,C
2026,4,4,24.1,C
2026,4,5,23.7,C
2026,4,6,26.9,C
2026,4,7,27.5,C
2026,4,8,23.2,C
2026,4,9,26.0,C
2026,4,10,27.2,C
2026,4,11,26.9,C
2026,4,12,27.2,C
2026,4,13,27.1,C
2026,4,14,26.8,C
2026,4,15,26.6,C
2026,4,16,26.5,C
2026,4,17,24.1,C
2026,4,18,25.1,C
2026,4,19,26.4,C
2026,4,20,26.1,C
2026,4,21,26.9,C
2026,4,22,26.9,C
2026,4,23,24.9,C
2026,4,24,19.3,C
2026,4,25,22.7,C
2026,4,26,25.1,C
2026,4,27,25.3,C
2026,4,28,26.1,C
2026,4,29,25.2,C
2026,4,30,22.0,C
2026,5,1,24.1,C
2026,5,2,25.6,C
2026,5,3,24.0,C
2026,5,4,23.4,C
2026,5,5,21.5,C
2026,5,6,23.6,C
2026,5,7,26.6,C
2026,5,8,26.6,C
2026,5,9,23.5,C
2026,5,10,24.5,C
2026,5,11,25.6,C
2026,5,12,27.6,C
2026,5,13,28.7,C
2026,5,14,28.0,C
2026,5,15,26.1,C
2026,5,16,24.8,C
2026,5,17,24.4,C
2026,5,18,25.7,C
2026,5,19,25.1,C
2026,5,20,27.5,C
2026,5,21,26.6,C
2026,5,22,28.7,C
2026,5,23,28.9,C
2026,5,24,29.9,C
2026,5,25,30.3,C
2026,5,26,30.5,C
2026,5,27,31.3,C
2026,5,28,31.5,C
2026,5,29,30.8,C
2026,5,30,29.7,C
2026,5,31,28.5,C
2026,6,1,29.1,C
2026,6,2,30.3,C
2026,6,3,30.8,C
2026,6,4,31.6,C
2026,6,5,31.5,C
2026,6,6,27.6,C
2026,6,7,28.5,C
2026,6,8,27.9,C
2026,6,9,25.9,C
2026,6,10,25.9,C
2026,6,11,27.1,C
2026,6,12,27.7,C
2026,6,13,27.3,C
2026,6,14,29.2,C
2026,6,15,26.7,C
2026,6,16,25.4,C
2026,6,17,26.2,C
2026,6,18,25.0,C
2026,6,19,29.0,C
2026,6,20,29.6,C
2026,6,21,30.1,C
2026,6,22,30.5,C
2026,6,23,31.1,C
2026,6,24,31.4,C
2026,6,25,30.8,C
2026,6,26,27.8,C
2026,6,27,29.0,C
2026,6,28,26.9,C
2026,6,29,28.8,C
2026,6,30,28.7,C
2026,7,1,29.7,C
2026,7,2,30.7,C
2026,7,3,28.6,C
2026,7,4,27.8,C
2026,7,5,29.9,C
2026,7,6,28.4,C
2026,7,7,26.1,C
2026,7,8,28.3,C
2026,7,9,28.9,C
2026,7,10,29.5,C
2026,7,11,30.9,C
2026,7,12,32.1,C
2026,7,13,30.8,C
2026,7,14,28.0,C
2026,7,15,26.7,C
2026,7,16,26.2,C
2026,7,17,26.8,C
2026,7,18,28.0,C
2026,7,19,29.6,C
2026,7,20,27.9,C
2026,7,21,28.0,C
2026,7,22,29.5,C
2026,7,23,30.1,C
2026,7,24,30.8,C
2026,7,25,29.4,C
2026,7,26,25.5,C
2026,7,27,27.8,C
2026,7,28,27.0,C
2026,7,29,26.5,C
2026,7,30,26.7,C
2026,7,31,25.7,C
2026,8,1,26.1,C
2026,8,2,25.5,C
2026,8,3,26.6,C
2026,8,4,28.2,C
2026,8,5,29.0,C
2026,8,6,30.1,C
2026,8,7,30.4,C
2026,8,8,32.3,C
2026,8,9,33.5,C
2026,8,10,33.9,C
2026,8,11,32.4,C
2026,8,12,32.3,C
2026,8,13,31.8,C
2026,8,14,28.7,C
2026,8,15,29.5,C
2026,8,16,31.3,C
2026,8,17,28.9,C
2026,8,18,29.8,C
2026,8,19,30.6,C
2026,8,20,28.2,C
2026,8,21,28.7,C
2026,8,22,29.0,C
2026,8,23,30.0,C
2026,8,24,30.8,C
2026,8,25,29.2,C
2026,8,26,28.2,C
2026,8,27,27.7,C
2026,8,28,29.1,C
2026,8,29,30.5,C
2026,8,30,28.7,C
2026,8,31,27.1,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
