"﻿平均氣溫 (攝氏度) - 深水埗"
"Mean Temperature (°C) - Sham Shui Po"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.6,C
2026,1,2,14.9,C
2026,1,3,13.8,C
2026,1,4,17.0,C
2026,1,5,18.2,C
2026,1,6,13.8,C
2026,1,7,13.0,C
2026,1,8,14.4,C
2026,1,9,14.9,C
2026,1,10,16.3,C
2026,1,11,17.1,C
2026,1,12,16.9,C
2026,1,13,18.3,C
2026,1,14,18.7,C
2026,1,15,18.8,C
2026,1,16,19.7,C
2026,1,17,20.9,C
2026,1,18,20.5,C
2026,1,19,19.5,C
2026,1,20,18.5,C
2026,1,21,14.9,C
2026,1,22,13.5,C
2026,1,23,13.8,C
2026,1,24,16.5,C
2026,1,25,18.6,C
2026,1,26,20.1,C
2026,1,27,21.2,C
2026,1,28,18.6,C
2026,1,29,18.3,C
2026,1,30,19.3,C
2026,1,31,17.7,C
2026,2,1,15.6,C
2026,2,2,17.2,C
2026,2,3,17.7,C
2026,2,4,18.9,C
2026,2,5,20.2,C
2026,2,6,21.4,C
2026,2,7,19.4,C
2026,2,8,15.9,C
2026,2,9,15.4,C
2026,2,10,18.1,C
2026,2,11,21.1,C
2026,2,12,18.2,C
2026,2,13,20.4,C
2026,2,14,21.6,C
2026,2,15,23.0,C
2026,2,16,24.1,C
2026,2,17,19.5,C
2026,2,18,19.5,C
2026,2,19,19.6,C
2026,2,20,20.6,C
2026,2,21,21.2,C
2026,2,22,22.1,C
2026,2,23,21.6,C
2026,2,24,22.5,C
2026,2,25,22.9,C
2026,2,26,21.2,C
2026,2,27,22.2,C
2026,2,28,20.4,C
2026,3,1,21.1,C
2026,3,2,23.3,C
2026,3,3,19.2,C
2026,3,4,16.1,C
2026,3,5,19.2,C
2026,3,6,19.8,C
2026,3,7,19.6,C
2026,3,8,19.4,C
2026,3,9,20.0,C
2026,3,10,17.1,C
2026,3,11,18.3,C
2026,3,12,20.3,C
2026,3,13,18.6,C
2026,3,14,19.3,C
2026,3,15,20.6,C
2026,3,16,20.9,C
2026,3,17,21.2,C
2026,3,18,23.0,C
2026,3,19,23.3,C
2026,3,20,21.9,C
2026,3,21,21.9,C
2026,3,22,22.8,C
2026,3,23,23.1,C
2026,3,24,24.5,C
2026,3,25,24.7,C
2026,3,26,24.8,C
2026,3,27,24.4,C
2026,3,28,24.8,C
2026,3,29,24.0,C
2026,3,30,25.0,C
2026,3,31,25.5,C
2026,4,1,24.8,C
2026,4,2,23.5,C
2026,4,3,25.5,C
2026,4,4,24.5,C
2026,4,5,24.2,C
2026,4,6,26.3,C
2026,4,7,27.0,C
2026,4,8,23.3,C
2026,4,9,25.8,C
2026,4,10,26.7,C
2026,4,11,26.7,C
2026,4,12,27.0,C
2026,4,13,27.2,C
2026,4,14,27.1,C
2026,4,15,26.7,C
2026,4,16,26.4,C
2026,4,17,24.7,C
2026,4,18,25.4,C
2026,4,19,26.5,C
2026,4,20,26.4,C
2026,4,21,26.7,C
2026,4,22,26.9,C
2026,4,23,25.8,C
2026,4,24,20.0,C
2026,4,25,22.9,C
2026,4,26,24.9,C
2026,4,27,25.1,C
2026,4,28,26.5,C
2026,4,29,24.8,C
2026,4,30,22.6,C
2026,5,1,23.9,C
2026,5,2,25.4,C
2026,5,3,24.8,C
2026,5,4,23.6,C
2026,5,5,21.3,C
2026,5,6,23.5,C
2026,5,7,26.2,C
2026,5,8,26.6,C
2026,5,9,23.7,C
2026,5,10,23.9,C
2026,5,11,25.4,C
2026,5,12,27.2,C
2026,5,13,27.8,C
2026,5,14,27.1,C
2026,5,15,26.1,C
2026,5,16,24.9,C
2026,5,17,24.7,C
2026,5,18,25.9,C
2026,5,19,25.5,C
2026,5,20,28.1,C
2026,5,21,27.7,C
2026,5,22,28.5,C
2026,5,23,28.7,C
2026,5,24,29.1,C
2026,5,25,29.4,C
2026,5,26,29.7,C
2026,5,27,29.9,C
