"﻿平均氣溫 (攝氏度) - 大老山"
"Mean Temperature (°C) - Tate's Cairn"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,13.3,C
2026,1,2,9.1,C
2026,1,3,8.1,C
2026,1,4,12.9,C
2026,1,5,13.9,C
2026,1,6,8.2,C
2026,1,7,8.2,C
2026,1,8,9.7,C
2026,1,9,11.8,C
2026,1,10,14.0,C
2026,1,11,12.3,C
2026,1,12,13.7,C
2026,1,13,15.9,C
2026,1,14,13.8,C
2026,1,15,16.3,C
2026,1,16,17.2,C
2026,1,17,16.9,C
2026,1,18,15.4,C
2026,1,19,14.4,C
2026,1,20,12.5,C
2026,1,21,9.7,C
2026,1,22,8.9,C
2026,1,23,9.1,C
2026,1,24,12.5,C
2026,1,25,12.8,C
2026,1,26,15.0,C
2026,1,27,17.5,C
2026,1,28,13.6,C
2026,1,29,12.4,C
2026,1,30,14.2,C
2026,1,31,13.3,C
2026,2,1,10.3,C
2026,2,2,12.9,C
2026,2,3,12.3,C
2026,2,4,14.6,C
2026,2,5,19.3,C
2026,2,6,19.8,C
2026,2,7,14.5,C
2026,2,8,10.5,C
2026,2,9,9.6,C
2026,2,10,12.5,C
2026,2,11,17.3,C
2026,2,12,12.8,C
2026,2,13,16.0,C
2026,2,14,19.3,C
2026,2,15,18.3,C
2026,2,16,19.1,C
2026,2,17,14.4,C
2026,2,18,13.9,C
2026,2,19,14.4,C
2026,2,20,17.1,C
2026,2,21,15.9,C
2026,2,22,18.7,C
2026,2,23,16.5,C
2026,2,24,18.5,C
2026,2,25,17.9,C
2026,2,26,16.2,C
2026,2,27,17.8,C
2026,2,28,16.2,C
2026,3,1,17.1,C
2026,3,2,20.2,C
2026,3,3,15.5,C
2026,3,4,12.1,C
2026,3,5,15.3,C
2026,3,6,14.9,C
2026,3,7,13.5,C
2026,3,8,13.7,C
2026,3,9,14.4,C
2026,3,10,12.1,C
2026,3,11,13.3,C
2026,3,12,15.7,C
2026,3,13,12.7,C
2026,3,14,14.0,C
2026,3,15,15.7,C
2026,3,16,15.5,C
2026,3,17,16.0,C
2026,3,18,19.3,C
2026,3,19,20.5,C
2026,3,20,16.8,C
2026,3,21,16.5,C
2026,3,22,17.6,C
2026,3,23,19.6,C
2026,3,24,19.7,C
2026,3,25,22.0,C
2026,3,26,20.1,C
2026,3,27,19.6,C
2026,3,28,19.7,C
2026,3,29,19.1,C
2026,3,30,20.5,C
2026,3,31,21.2,C
2026,4,1,21.0,C
2026,4,2,18.4,C
2026,4,3,20.9,C
2026,4,4,20.8,C
2026,4,5,20.3,C
2026,4,6,22.0,C
2026,4,7,22.7,C
2026,4,8,18.8,C
2026,4,9,21.2,C
2026,4,10,22.2,C
2026,4,11,21.7,C
2026,4,12,22.3,C
2026,4,13,22.6,C
2026,4,14,22.5,C
2026,4,15,22.5,C
2026,4,16,22.4,C
2026,4,17,20.9,C
2026,4,18,22.2,C
2026,4,19,22.2,C
2026,4,20,21.5,C
2026,4,21,22.5,C
2026,4,22,22.6,C
2026,4,23,21.7,C
2026,4,24,17.0,C
2026,4,25,18.9,C
2026,4,26,20.0,C
2026,4,27,19.8,C
2026,4,28,21.1,C
2026,4,29,20.6,C
2026,4,30,18.0,C
2026,5,1,18.3,C
2026,5,2,20.2,C
2026,5,3,21.2,C
2026,5,4,18.9,C
2026,5,5,17.0,C
2026,5,6,18.7,C
2026,5,7,21.1,C
2026,5,8,23.3,C
2026,5,9,19.0,C
2026,5,10,19.0,C
2026,5,11,22.1,C
2026,5,12,23.6,C
2026,5,13,24.0,C
2026,5,14,23.1,C
2026,5,15,21.9,C
2026,5,16,20.4,C
2026,5,17,19.9,C
2026,5,18,20.9,C
2026,5,19,21.8,C
2026,5,20,23.5,C
2026,5,21,23.8,C
2026,5,22,24.7,C
2026,5,23,24.3,C
2026,5,24,24.7,C
2026,5,25,25.3,C
2026,5,26,25.2,C
2026,5,27,26.4,C
2026,5,28,26.7,C
2026,5,29,26.9,C
2026,5,30,24.6,C
2026,5,31,22.9,C
2026,6,1,24.3,C
2026,6,2,25.9,C
2026,6,3,25.7,C
2026,6,4,26.9,C
2026,6,5,27.1,C
2026,6,6,24.0,C
2026,6,7,24.6,C
2026,6,8,23.9,C
2026,6,9,22.2,C
2026,6,10,21.2,C
2026,6,11,21.3,C
2026,6,12,22.6,C
2026,6,13,23.5,C
2026,6,14,24.6,C
2026,6,15,23.8,C
2026,6,16,22.8,C
2026,6,17,22.7,C
2026,6,18,23.6,C
2026,6,19,24.6,C
2026,6,20,24.7,C
2026,6,21,25.5,C
2026,6,22,26.0,C
2026,6,23,26.2,C
2026,6,24,26.5,C
2026,6,25,25.9,C
2026,6,26,24.8,C
2026,6,27,25.0,C
2026,6,28,24.0,C
2026,6,29,24.6,C
2026,6,30,24.6,C
2026,7,1,25.1,C
2026,7,2,24.9,C
2026,7,3,24.1,C
2026,7,4,24.0,C
2026,7,5,25.2,C
2026,7,6,23.9,C
2026,7,7,23.4,C
2026,7,8,24.6,C
2026,7,9,25.1,C
2026,7,10,26.4,C
2026,7,11,27.4,C
2026,7,12,27.4,C
2026,7,13,25.5,C
2026,7,14,23.2,C
2026,7,15,23.2,C
2026,7,16,23.0,C
2026,7,17,24.1,C
2026,7,18,24.6,C
2026,7,19,25.0,C
2026,7,20,24.1,C
2026,7,21,24.6,C
2026,7,22,25.6,C
2026,7,23,25.8,C
2026,7,24,27.0,C
2026,7,25,26.5,C
2026,7,26,22.2,C
2026,7,27,23.4,C
2026,7,28,22.9,C
2026,7,29,23.6,C
2026,7,30,23.2,C
2026,7,31,22.8,C
2026,8,1,22.8,C
2026,8,2,22.3,C
2026,8,3,22.9,C
2026,8,4,24.7,C
2026,8,5,24.6,C
2026,8,6,26.0,C
2026,8,7,27.2,C
2026,8,8,28.8,C
2026,8,9,29.4,C
2026,8,10,29.2,C
2026,8,11,28.3,C
2026,8,12,27.6,C
2026,8,13,26.6,C
2026,8,14,24.3,C
2026,8,15,25.5,C
2026,8,16,27.0,C
2026,8,17,26.1,C
2026,8,18,24.2,C
2026,8,19,24.5,C
2026,8,20,23.8,C
