"﻿平均氣溫 (攝氏度) - 打鼓嶺"
"Mean Temperature (°C) - Ta Kwu Ling"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,17.6,C
2026,1,2,13.3,C
2026,1,3,11.7,C
2026,1,4,14.2,C
2026,1,5,14.9,C
2026,1,6,12.3,C
2026,1,7,10.9,C
2026,1,8,11.9,C
2026,1,9,10.3,C
2026,1,10,12.0,C
2026,1,11,13.5,C
2026,1,12,15.7,C
2026,1,13,16.3,C
2026,1,14,16.3,C
2026,1,15,17.5,C
2026,1,16,17.4,C
2026,1,17,18.8,C
2026,1,18,19.6,C
2026,1,19,18.5,C
2026,1,20,17.6,C
2026,1,21,13.3,C
2026,1,22,11.5,C
2026,1,23,11.9,C
2026,1,24,15.6,C
2026,1,25,18.0,C
2026,1,26,19.6,C
2026,1,27,20.9,C
2026,1,28,18.4,C
2026,1,29,17.8,C
2026,1,30,18.5,C
2026,1,31,17.2,C
2026,2,1,15.2,C
2026,2,2,15.8,C
2026,2,3,16.7,C
2026,2,4,18.8,C
2026,2,5,20.1,C
2026,2,6,20.3,C
2026,2,7,19.1,C
2026,2,8,15.6,C
2026,2,9,14.6,C
2026,2,10,17.5,C
2026,2,11,20.6,C
2026,2,12,17.7,C
2026,2,13,19.7,C
2026,2,14,20.4,C
2026,2,15,21.1,C
2026,2,16,23.6,C
2026,2,17,19.0,C
2026,2,18,18.9,C
2026,2,19,19.0,C
2026,2,20,19.9,C
2026,2,21,19.5,C
2026,2,22,21.7,C
2026,2,23,20.9,C
2026,2,24,22.3,C
2026,2,25,22.5,C
2026,2,26,20.8,C
2026,2,27,21.7,C
2026,2,28,19.7,C
2026,3,1,20.3,C
2026,3,2,23.0,C
2026,3,3,18.4,C
2026,3,4,15.1,C
2026,3,5,18.8,C
2026,3,6,18.9,C
2026,3,7,19.2,C
2026,3,8,19.5,C
2026,3,9,20.0,C
2026,3,10,16.6,C
2026,3,11,17.6,C
2026,3,12,18.8,C
2026,3,13,18.1,C
2026,3,14,18.7,C
2026,3,15,20.3,C
2026,3,16,20.4,C
2026,3,17,20.8,C
2026,3,18,22.6,C
2026,3,19,22.6,C
2026,3,20,21.8,C
2026,3,21,21.6,C
2026,3,22,22.5,C
2026,3,23,22.7,C
2026,3,24,23.6,C
2026,3,25,24.4,C
2026,3,26,23.7,C
2026,3,27,23.8,C
2026,3,28,23.8,C
2026,3,29,23.8,C
2026,3,30,24.0,C
2026,3,31,24.7,C
2026,4,1,24.1,C
2026,4,2,22.6,C
2026,4,3,25.1,C
2026,4,4,23.7,C
2026,4,5,23.3,C
2026,4,6,26.1,C
2026,4,7,26.9,C
2026,4,8,22.5,C
2026,4,9,25.8,C
2026,4,10,26.1,C
2026,4,11,26.0,C
2026,4,12,26.9,C
2026,4,13,26.7,C
2026,4,14,26.2,C
2026,4,15,26.2,C
2026,4,16,25.9,C
2026,4,17,23.5,C
2026,4,18,24.7,C
2026,4,19,25.6,C
2026,4,20,25.6,C
2026,4,21,26.6,C
2026,4,22,26.6,C
2026,4,23,24.1,C
2026,4,24,18.8,C
2026,4,25,22.2,C
2026,4,26,24.1,C
2026,4,27,24.5,C
2026,4,28,25.3,C
2026,4,29,25.0,C
2026,4,30,21.1,C
2026,5,1,23.1,C
2026,5,2,25.1,C
2026,5,3,23.9,C
2026,5,4,22.7,C
2026,5,5,21.1,C
2026,5,6,23.1,C
2026,5,7,26.0,C
2026,5,8,26.4,C
2026,5,9,23.2,C
2026,5,10,23.8,C
2026,5,11,25.1,C
2026,5,12,27.0,C
2026,5,13,28.0,C
2026,5,14,27.4,C
2026,5,15,25.9,C
2026,5,16,24.5,C
2026,5,17,24.2,C
2026,5,18,25.6,C
2026,5,19,25.2,C
2026,5,20,27.2,C
2026,5,21,26.2,C
2026,5,22,28.1,C
2026,5,23,28.4,C
2026,5,24,29.4,C
2026,5,25,30.0,C
2026,5,26,30.0,C
2026,5,27,30.5,C
2026,5,28,30.6,C
2026,5,29,29.9,C
2026,5,30,28.6,C
2026,5,31,28.1,C
2026,6,1,28.5,C
2026,6,2,29.8,C
2026,6,3,29.9,C
2026,6,4,30.9,C
2026,6,5,30.4,C
2026,6,6,27.0,C
2026,6,7,28.0,C
2026,6,8,27.8,C
