"﻿平均氣溫 (攝氏度) - 大帽山"
"Mean Temperature (°C) - Tai Mo Shan"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,10.5,C
2026,1,2,5.4,C
2026,1,3,6.6,C
2026,1,4,9.9,C
2026,1,5,10.4,C
2026,1,6,4.4,C
2026,1,7,4.1,C
2026,1,8,6.6,C
2026,1,9,8.9,C
2026,1,10,11.1,C
2026,1,11,10.1,C
2026,1,12,11.3,C
2026,1,13,13.5,C
2026,1,14,12.3,C
2026,1,15,14.1,C
2026,1,16,15.6,C
2026,1,17,15.4,C
2026,1,18,14.3,C
2026,1,19,14.0,C
2026,1,20,10.3,C
2026,1,21,7.5,C
2026,1,22,6.9,C
2026,1,23,8.4,C
2026,1,24,11.2,C
2026,1,25,11.5,C
2026,1,26,14.3,C
2026,1,27,14.9,C
2026,1,28,12.3,C
2026,1,29,10.8,C
2026,1,30,12.4,C
2026,1,31,11.9,C
2026,2,1,9.2,C
2026,2,2,10.7,C
2026,2,3,11.0,C
2026,2,4,14.3,C
2026,2,5,17.2,C
2026,2,6,17.0,#
2026,2,7,12.9,C
2026,2,8,7.5,C
2026,2,9,7.2,C
2026,2,10,11.6,C
2026,2,11,14.5,C
2026,2,12,12.9,C
2026,2,13,15.4,C
2026,2,14,17.0,C
2026,2,15,16.7,C
2026,2,16,17.7,C
2026,2,17,13.0,C
2026,2,18,11.8,C
2026,2,19,12.4,C
2026,2,20,14.6,C
2026,2,21,14.5,C
2026,2,22,15.9,C
2026,2,23,14.8,C
2026,2,24,16.5,C
2026,2,25,16.2,C
2026,2,26,15.8,C
2026,2,27,16.9,C
2026,2,28,15.0,C
2026,3,1,16.3,C
2026,3,2,18.6,C
2026,3,3,14.6,C
2026,3,4,10.9,C
2026,3,5,12.5,C
2026,3,6,12.1,C
2026,3,7,11.9,C
2026,3,8,14.0,C
2026,3,9,14.1,C
2026,3,10,9.5,C
2026,3,11,11.1,C
2026,3,12,13.2,C
2026,3,13,10.2,C
2026,3,14,12.5,C
2026,3,15,14.4,C
2026,3,16,14.9,C
2026,3,17,14.1,C
2026,3,18,15.7,#
2026,3,19,18.0,C
2026,3,20,15.6,C
2026,3,21,15.7,C
2026,3,22,16.5,C
2026,3,23,18.5,#
2026,3,24,17.4,C
2026,3,25,19.5,C
2026,3,26,17.7,C
2026,3,27,17.5,C
2026,3,28,17.6,C
2026,3,29,17.7,C
2026,3,30,17.9,C
2026,3,31,18.4,C
2026,4,1,18.5,C
2026,4,2,16.9,C
2026,4,3,18.9,C
2026,4,4,18.5,C
2026,4,5,19.0,C
2026,4,6,20.2,C
2026,4,7,20.5,C
2026,4,8,17.5,C
2026,4,9,18.8,C
2026,4,10,19.2,C
2026,4,11,19.7,C
2026,4,12,19.4,C
2026,4,13,19.3,C
2026,4,14,19.4,C
2026,4,15,19.2,C
2026,4,16,18.6,C
2026,4,17,18.5,C
2026,4,18,18.9,C
2026,4,19,19.6,C
2026,4,20,19.3,C
2026,4,21,19.4,C
2026,4,22,19.1,C
2026,4,23,19.1,C
2026,4,24,17.0,C
2026,4,25,17.4,C
2026,4,26,18.6,C
2026,4,27,18.4,C
2026,4,28,18.9,C
2026,4,29,18.3,C
2026,4,30,14.4,C
2026,5,1,16.2,C
2026,5,2,18.5,C
2026,5,3,18.6,C
2026,5,4,17.0,C
2026,5,5,16.7,C
2026,5,6,17.8,C
2026,5,7,20.3,C
2026,5,8,20.6,C
2026,5,9,17.3,C
2026,5,10,17.8,C
2026,5,11,19.6,C
2026,5,12,21.3,C
2026,5,13,21.0,C
2026,5,14,20.7,C
2026,5,15,20.3,C
2026,5,16,18.7,C
2026,5,17,18.2,C
2026,5,18,19.1,C
2026,5,19,19.7,C
2026,5,20,21.4,C
2026,5,21,21.7,C
2026,5,22,21.6,C
2026,5,23,21.6,C
2026,5,24,22.2,C
2026,5,25,22.2,C
2026,5,26,22.7,C
2026,5,27,23.5,C
2026,5,28,24.4,C
2026,5,29,24.7,C
2026,5,30,23.0,C
2026,5,31,21.6,C
2026,6,1,21.9,C
2026,6,2,22.6,C
2026,6,3,22.8,C
2026,6,4,23.6,C
2026,6,5,23.4,C
2026,6,6,21.9,C
2026,6,7,22.3,C
2026,6,8,22.0,C
2026,6,9,19.2,C
2026,6,10,18.8,C
2026,6,11,19.6,C
2026,6,12,20.5,C
2026,6,13,21.5,C
2026,6,14,22.4,C
2026,6,15,21.9,C
2026,6,16,21.0,C
2026,6,17,20.9,C
2026,6,18,22.0,C
2026,6,19,22.6,C
2026,6,20,22.3,C
2026,6,21,22.3,C
2026,6,22,23.1,C
2026,6,23,22.7,C
2026,6,24,23.1,C
2026,6,25,23.3,C
2026,6,26,22.2,C
2026,6,27,22.3,C
2026,6,28,21.7,C
2026,6,29,22.2,C
2026,6,30,22.1,C
2026,7,1,22.7,C
2026,7,2,22.7,C
2026,7,3,21.8,C
2026,7,4,21.7,C
2026,7,5,22.2,C
2026,7,6,21.8,C
2026,7,7,21.5,C
2026,7,8,21.9,C
2026,7,9,22.1,C
2026,7,10,23.1,C
2026,7,11,24.1,C
2026,7,12,24.5,C
2026,7,13,22.8,C
2026,7,14,21.2,C
2026,7,15,21.3,C
2026,7,16,21.2,C
2026,7,17,22.0,C
2026,7,18,22.3,C
2026,7,19,22.3,C
2026,7,20,21.9,C
2026,7,21,21.8,C
2026,7,22,22.0,C
2026,7,23,22.7,C
2026,7,24,23.7,C
2026,7,25,23.0,C
2026,7,26,20.3,C
2026,7,27,21.0,C
2026,7,28,21.0,C
2026,7,29,21.3,C
2026,7,30,21.2,C
2026,7,31,20.8,C
2026,8,1,20.7,C
2026,8,2,20.5,C
2026,8,3,21.1,C
2026,8,4,21.8,C
2026,8,5,22.2,C
2026,8,6,23.5,C
2026,8,7,24.6,C
2026,8,8,25.0,C
2026,8,9,25.2,C
2026,8,10,24.8,C
2026,8,11,24.1,C
2026,8,12,24.4,C
2026,8,13,23.4,C
2026,8,14,22.2,C
2026,8,15,22.8,C
2026,8,16,23.6,C
2026,8,17,23.0,C
2026,8,18,22.2,C
2026,8,19,22.2,C
2026,8,20,21.7,C
2026,8,21,22.0,C
2026,8,22,22.8,C
2026,8,23,22.6,C
2026,8,24,22.9,C
2026,8,25,22.6,C
2026,8,26,22.2,C
2026,8,27,22.3,C
2026,8,28,22.7,C
2026,8,29,23.7,C
2026,8,30,22.3,C
2026,8,31,21.7,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
