"﻿平均氣溫 (攝氏度) - 屯門兒童及青少年院"
"Mean Temperature (°C) - Tuen Mun Children and Juvenile Home"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.3,C
2026,1,2,14.5,C
2026,1,3,13.4,C
2026,1,4,16.4,C
2026,1,5,17.3,C
2026,1,6,13.3,C
2026,1,7,12.3,C
2026,1,8,13.9,C
2026,1,9,14.9,C
2026,1,10,15.8,C
2026,1,11,17.0,C
2026,1,12,16.6,C
2026,1,13,18.2,C
2026,1,14,18.1,C
2026,1,15,19.1,C
2026,1,16,19.6,C
2026,1,17,20.5,C
2026,1,18,20.2,C
2026,1,19,19.4,C
2026,1,20,18.2,C
2026,1,21,14.4,C
2026,1,22,12.5,C
2026,1,23,12.6,C
2026,1,24,15.8,C
2026,1,25,18.0,C
2026,1,26,19.7,C
2026,1,27,20.9,C
2026,1,28,18.8,C
2026,1,29,18.1,C
2026,1,30,18.8,C
2026,1,31,17.8,C
2026,2,1,15.2,C
2026,2,2,16.6,C
2026,2,3,17.4,C
2026,2,4,19.2,C
2026,2,5,20.9,C
2026,2,6,21.7,C
2026,2,7,19.5,C
2026,2,8,16.2,C
2026,2,9,15.6,C
2026,2,10,18.2,C
2026,2,11,20.8,C
2026,2,12,18.5,C
2026,2,13,20.1,C
2026,2,14,21.4,C
2026,2,15,22.5,C
2026,2,16,23.8,C
2026,2,17,19.8,C
2026,2,18,19.5,C
2026,2,19,19.7,C
2026,2,20,20.7,C
2026,2,21,21.0,C
2026,2,22,22.2,C
2026,2,23,21.6,C
2026,2,24,22.6,C
2026,2,25,22.6,C
2026,2,26,21.3,C
2026,2,27,22.1,C
2026,2,28,20.6,C
2026,3,1,21.4,C
2026,3,2,23.1,C
2026,3,3,19.1,C
2026,3,4,15.5,C
2026,3,5,18.9,C
2026,3,6,19.2,C
2026,3,7,19.2,C
2026,3,8,19.5,C
2026,3,9,20.1,C
2026,3,10,17.1,C
2026,3,11,18.1,C
2026,3,12,19.9,C
2026,3,13,18.8,C
2026,3,14,19.2,C
2026,3,15,20.6,C
2026,3,16,20.9,C
2026,3,17,20.7,C
2026,3,18,22.6,C
2026,3,19,23.3,C
2026,3,20,22.4,C
2026,3,21,22.0,C
2026,3,22,22.9,C
2026,3,23,23.2,C
2026,3,24,24.1,C
2026,3,25,25.0,C
2026,3,26,24.8,C
2026,3,27,24.4,C
