"﻿平均氣溫 (攝氏度) - 荃灣"
"Mean Temperature (°C) - Tsuen Wan"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,16.5,C
2026,1,2,12.4,C
2026,1,3,12.2,C
2026,1,4,15.2,C
2026,1,5,16.0,C
2026,1,6,11.7,C
2026,1,7,10.8,C
2026,1,8,12.2,C
2026,1,9,12.7,C
2026,1,10,14.2,C
2026,1,11,14.9,C
2026,1,12,15.2,C
2026,1,13,16.5,C
2026,1,14,16.9,C
2026,1,15,17.2,C
2026,1,16,17.7,C
2026,1,17,18.9,C
2026,1,18,19.4,C
2026,1,19,18.1,C
2026,1,20,17.0,C
2026,1,21,13.2,C
2026,1,22,11.4,C
2026,1,23,12.0,C
2026,1,24,14.8,C
2026,1,25,17.5,C
2026,1,26,19.1,C
2026,1,27,19.6,C
2026,1,28,17.1,C
2026,1,29,17.0,C
2026,1,30,18.2,C
2026,1,31,16.6,C
2026,2,1,14.3,C
2026,2,2,15.3,C
2026,2,3,16.2,C
2026,2,4,17.7,C
2026,2,5,18.8,C
2026,2,6,20.1,C
2026,2,7,18.2,C
2026,2,8,14.6,C
2026,2,9,14.0,C
2026,2,10,16.9,C
2026,2,11,19.3,C
2026,2,12,16.6,C
2026,2,13,18.6,C
2026,2,14,19.9,C
2026,2,15,21.7,C
2026,2,16,22.4,C
2026,2,17,18.0,C
2026,2,18,17.8,C
2026,2,19,17.5,C
2026,2,20,18.7,C
2026,2,21,19.5,C
2026,2,22,20.0,C
2026,2,23,20.4,C
2026,2,24,21.5,C
2026,2,25,21.7,C
2026,2,26,20.4,C
2026,2,27,21.1,C
2026,2,28,19.2,C
2026,3,1,20.4,C
2026,3,2,22.3,C
2026,3,3,18.1,C
2026,3,4,14.7,C
2026,3,5,17.8,C
2026,3,6,17.8,C
2026,3,7,18.5,C
2026,3,8,18.3,C
2026,3,9,18.6,C
2026,3,10,15.7,C
2026,3,11,16.7,C
2026,3,12,18.3,C
2026,3,13,17.1,C
2026,3,14,18.0,C
2026,3,15,18.9,C
2026,3,16,19.6,C
2026,3,17,19.6,C
2026,3,18,21.1,C
2026,3,19,21.7,C
2026,3,20,21.2,C
2026,3,21,20.9,C
2026,3,22,21.7,C
2026,3,23,21.6,C
2026,3,24,22.7,C
2026,3,25,23.1,C
2026,3,26,23.4,C
2026,3,27,22.9,C
2026,3,28,23.2,C
2026,3,29,23.1,C
2026,3,30,23.6,C
2026,3,31,23.9,C
2026,4,1,23.2,C
2026,4,2,22.1,C
2026,4,3,23.8,C
2026,4,4,23.2,C
2026,4,5,22.8,C
2026,4,6,24.4,C
2026,4,7,24.9,C
2026,4,8,22.0,C
2026,4,9,24.0,C
2026,4,10,25.1,C
2026,4,11,24.9,C
2026,4,12,25.3,C
2026,4,13,25.5,C
2026,4,14,25.4,C
2026,4,15,25.2,C
2026,4,16,24.9,C
2026,4,17,22.8,C
2026,4,18,23.2,C
2026,4,19,24.5,C
2026,4,20,24.5,C
2026,4,21,25.2,C
2026,4,22,25.4,C
2026,4,23,24.1,C
2026,4,24,18.8,C
2026,4,25,21.1,C
2026,4,26,22.5,C
2026,4,27,23.2,C
2026,4,28,24.2,C
2026,4,29,23.4,C
2026,4,30,20.5,C
2026,5,1,22.5,C
2026,5,2,24.1,C
2026,5,3,23.4,C
2026,5,4,22.2,C
2026,5,5,20.3,C
2026,5,6,22.1,C
2026,5,7,24.6,C
2026,5,8,24.8,C
2026,5,9,21.9,C
2026,5,10,22.2,C
2026,5,11,23.7,C
2026,5,12,25.9,C
2026,5,13,26.4,C
2026,5,14,25.5,C
2026,5,15,24.4,C
2026,5,16,23.3,C
2026,5,17,23.7,C
2026,5,18,25.0,C
2026,5,19,23.9,C
2026,5,20,25.9,C
2026,5,21,25.8,C
2026,5,22,27.0,C
2026,5,23,27.0,C
2026,5,24,27.5,C
2026,5,25,27.8,C
2026,5,26,28.1,C
2026,5,27,28.8,C
2026,5,28,29.0,C
2026,5,29,28.6,C
2026,5,30,27.3,C
2026,5,31,26.6,C
2026,6,1,27.3,C
2026,6,2,28.3,C
2026,6,3,28.6,C
2026,6,4,29.1,C
2026,6,5,28.3,C
2026,6,6,25.9,C
2026,6,7,26.4,C
2026,6,8,26.2,C
2026,6,9,24.9,C
2026,6,10,24.3,C
2026,6,11,24.9,C
2026,6,12,25.2,C
2026,6,13,25.6,C
2026,6,14,27.1,C
2026,6,15,25.9,C
2026,6,16,24.6,C
2026,6,17,24.8,C
2026,6,18,25.2,C
2026,6,19,27.1,C
2026,6,20,27.5,C
2026,6,21,28.0,C
2026,6,22,28.6,C
2026,6,23,28.3,C
2026,6,24,28.8,C
2026,6,25,28.8,C
2026,6,26,26.5,C
2026,6,27,27.0,C
2026,6,28,26.0,C
2026,6,29,26.7,C
2026,6,30,27.0,C
2026,7,1,28.5,C
2026,7,2,28.4,C
2026,7,3,26.8,C
2026,7,4,26.3,C
2026,7,5,27.8,C
2026,7,6,26.2,C
2026,7,7,25.1,C
2026,7,8,26.4,C
2026,7,9,27.0,C
2026,7,10,27.5,C
2026,7,11,28.6,C
2026,7,12,28.9,C
2026,7,13,28.6,C
2026,7,14,25.6,C
2026,7,15,25.2,C
2026,7,16,24.7,C
2026,7,17,25.9,C
2026,7,18,26.5,C
2026,7,19,27.4,C
2026,7,20,26.4,C
2026,7,21,26.5,C
2026,7,22,27.6,C
2026,7,23,28.3,C
2026,7,24,27.8,C
2026,7,25,27.6,C
2026,7,26,24.3,C
2026,7,27,25.4,C
2026,7,28,25.5,C
2026,7,29,25.2,C
2026,7,30,25.2,C
2026,7,31,24.4,C
2026,8,1,24.9,C
2026,8,2,24.4,C
2026,8,3,25.2,C
2026,8,4,26.5,C
2026,8,5,26.0,C
2026,8,6,26.8,C
2026,8,7,27.7,C
2026,8,8,30.1,C
2026,8,9,31.4,C
2026,8,10,31.1,C
2026,8,11,29.8,C
2026,8,12,29.4,C
2026,8,13,29.3,C
2026,8,14,26.8,C
2026,8,15,27.2,C
2026,8,16,28.8,C
2026,8,17,27.1,C
2026,8,18,27.8,C
2026,8,19,28.5,C
2026,8,20,26.4,C
2026,8,21,26.5,C
2026,8,22,27.4,C
2026,8,23,28.2,C
2026,8,24,28.5,C
2026,8,25,27.1,C
2026,8,26,26.6,C
2026,8,27,26.6,C
2026,8,28,27.9,C
2026,8,29,28.5,C
2026,8,30,26.9,C
2026,8,31,26.0,C
"*** 沒有數據/unavailable"
"# 數據不完整/data incomplete"
"C 數據完整/data Complete"
