"﻿平均氣溫 (攝氏度) - 北潭涌(鯽魚湖)"
"Mean Temperature (°C) - Pak Tam Chung (Tsak Yue Wu)"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,17.1,C
2026,1,2,13.4,C
2026,1,3,11.7,C
2026,1,4,13.7,C
2026,1,5,15.1,C
2026,1,6,12.6,C
2026,1,7,10.8,C
2026,1,8,11.3,C
2026,1,9,10.1,C
2026,1,10,11.0,C
2026,1,11,11.5,C
2026,1,12,13.2,C
2026,1,13,13.9,C
2026,1,14,13.7,C
2026,1,15,15.2,C
2026,1,16,14.2,C
2026,1,17,15.5,C
2026,1,18,16.6,C
2026,1,19,15.1,C
2026,1,20,16.5,C
2026,1,21,13.6,C
2026,1,22,12.0,C
2026,1,23,12.2,C
2026,1,24,14.2,C
2026,1,25,17.0,C
2026,1,26,18.2,C
2026,1,27,20.0,C
2026,1,28,17.2,C
2026,1,29,17.3,C
2026,1,30,17.7,C
2026,1,31,16.2,C
2026,2,1,14.4,C
2026,2,2,14.9,C
2026,2,3,15.8,C
2026,2,4,17.1,C
2026,2,5,16.9,C
2026,2,6,17.6,C
2026,2,7,17.3,C
2026,2,8,14.8,C
2026,2,9,14.0,C
2026,2,10,16.4,C
2026,2,11,19.4,C
2026,2,12,16.6,C
2026,2,13,17.2,C
2026,2,14,17.6,C
2026,2,15,19.3,C
2026,2,16,21.9,C
2026,2,17,17.9,C
2026,2,18,17.8,C
2026,2,19,17.5,C
2026,2,20,17.8,C
2026,2,21,17.8,C
2026,2,22,19.7,C
2026,2,23,19.2,C
2026,2,24,21.2,C
2026,2,25,21.1,C
2026,2,26,19.7,C
2026,2,27,20.6,C
2026,2,28,19.2,C
2026,3,1,19.2,C
2026,3,2,21.4,C
2026,3,3,18.0,C
2026,3,4,15.0,C
2026,3,5,18.5,C
2026,3,6,18.2,C
2026,3,7,18.7,C
2026,3,8,18.5,C
2026,3,9,18.9,C
2026,3,10,16.0,C
2026,3,11,16.0,#
2026,3,12,17.1,C
2026,3,13,17.1,C
2026,3,14,16.7,C
2026,3,15,18.5,C
2026,3,16,17.4,C
2026,3,17,19.3,C
2026,3,18,21.5,C
2026,3,19,21.2,C
2026,3,20,20.9,C
2026,3,21,20.8,C
2026,3,22,21.1,C
2026,3,23,20.4,C
2026,3,24,22.3,C
2026,3,25,23.0,C
2026,3,26,22.5,C
2026,3,27,23.0,C
2026,3,28,22.9,C
2026,3,29,22.7,C
2026,3,30,24.0,C
2026,3,31,24.2,C
2026,4,1,23.6,C
2026,4,2,21.8,C
2026,4,3,24.5,C
2026,4,4,23.5,C
2026,4,5,22.9,C
2026,4,6,25.2,C
2026,4,7,26.2,C
2026,4,8,22.5,C
2026,4,9,24.6,C
2026,4,10,25.5,C
2026,4,11,25.2,C
2026,4,12,25.5,C
2026,4,13,26.0,C
2026,4,14,25.7,C
2026,4,15,24.5,C
2026,4,16,24.4,C
2026,4,17,22.9,C
2026,4,18,24.0,C
2026,4,19,24.2,C
2026,4,20,24.5,C
2026,4,21,25.2,C
2026,4,22,25.6,C
2026,4,23,24.3,C
2026,4,24,19.1,C
2026,4,25,22.0,C
2026,4,26,23.3,C
2026,4,27,22.8,C
2026,4,28,24.6,C
2026,4,29,24.1,C
2026,4,30,20.6,C
2026,5,1,22.4,C
2026,5,2,24.3,C
2026,5,3,23.5,C
2026,5,4,22.7,C
2026,5,5,20.5,C
2026,5,6,22.0,C
2026,5,7,24.5,C
2026,5,8,25.3,C
2026,5,9,22.9,C
2026,5,10,22.9,C
2026,5,11,23.6,C
2026,5,12,25.5,C
2026,5,13,27.1,C
2026,5,14,26.4,C
2026,5,15,24.9,C
2026,5,16,24.1,C
2026,5,17,24.1,C
2026,5,18,25.3,C
2026,5,19,25.3,C
2026,5,20,26.9,C
2026,5,21,26.5,C
2026,5,22,28.0,C
2026,5,23,27.5,C
2026,5,24,28.6,C
2026,5,25,29.4,C
2026,5,26,29.2,C
2026,5,27,29.5,C
2026,5,28,29.1,C
2026,5,29,29.1,C
2026,5,30,27.1,C
2026,5,31,27.1,C
2026,6,1,27.2,C
2026,6,2,28.5,C
2026,6,3,28.4,C
2026,6,4,29.0,C
2026,6,5,28.4,C
2026,6,6,25.8,C
2026,6,7,26.5,C
2026,6,8,26.9,C
2026,6,9,25.5,C
2026,6,10,24.8,C
2026,6,11,25.6,C
2026,6,12,26.3,C
2026,6,13,26.0,C
2026,6,14,27.1,C
2026,6,15,25.6,C
2026,6,16,25.0,C
2026,6,17,25.4,C
2026,6,18,25.4,C
2026,6,19,28.3,C
2026,6,20,28.3,C
2026,6,21,28.5,C
2026,6,22,28.9,C
2026,6,23,29.1,C
2026,6,24,29.3,C
2026,6,25,29.2,C
2026,6,26,26.9,C
2026,6,27,27.7,C
2026,6,28,27.1,C
2026,6,29,27.8,C
2026,6,30,27.7,C
2026,7,1,29.2,C
2026,7,2,29.8,C
2026,7,3,28.0,C
2026,7,4,27.5,C
2026,7,5,28.8,C
2026,7,6,27.2,C
2026,7,7,25.7,C
2026,7,8,27.3,C
2026,7,9,28.1,C
2026,7,10,28.3,C
2026,7,11,28.9,C
2026,7,12,29.9,C
2026,7,13,29.1,C
2026,7,14,27.1,C
2026,7,15,26.1,C
2026,7,16,25.7,C
2026,7,17,26.6,C
2026,7,18,27.6,C
2026,7,19,27.8,C
2026,7,20,26.4,C
2026,7,21,27.3,C
2026,7,22,27.6,C
2026,7,23,28.3,C
2026,7,24,28.6,C
2026,7,25,28.3,C
2026,7,26,25.1,C
2026,7,27,26.1,C
2026,7,28,26.5,C
2026,7,29,26.6,C
2026,7,30,26.3,C
2026,7,31,25.8,C
2026,8,1,25.7,C
2026,8,2,25.0,C
2026,8,3,25.9,C
2026,8,4,27.1,C
2026,8,5,26.6,C
2026,8,6,27.1,C
2026,8,7,28.1,C
2026,8,8,30.2,C
2026,8,9,30.5,C
2026,8,10,30.4,C
2026,8,11,29.7,C
2026,8,12,30.1,C
2026,8,13,29.4,C
2026,8,14,26.6,C
2026,8,15,27.6,C
2026,8,16,29.1,C
2026,8,17,28.0,C
