"﻿平均氣溫 (攝氏度) - 橫瀾島"
"Mean Temperature (°C) - Waglan Island"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,18.0,C
2026,1,2,14.4,C
2026,1,3,14.1,C
2026,1,4,17.1,C
2026,1,5,17.9,C
2026,1,6,13.7,C
2026,1,7,13.0,C
2026,1,8,14.6,C
2026,1,9,15.1,C
2026,1,10,16.9,C
2026,1,11,17.1,C
2026,1,12,16.5,C
2026,1,13,18.5,C
2026,1,14,18.4,C
2026,1,15,18.9,C
2026,1,16,19.4,C
2026,1,17,20.0,C
2026,1,18,19.3,C
2026,1,19,19.1,C
2026,1,20,17.8,C
2026,1,21,15.0,C
2026,1,22,13.5,C
2026,1,23,13.8,C
2026,1,24,16.6,C
2026,1,25,17.8,C
2026,1,26,18.9,C
2026,1,27,20.2,C
2026,1,28,17.8,C
2026,1,29,17.5,C
2026,1,30,17.9,C
2026,1,31,16.5,C
2026,2,1,14.4,C
2026,2,2,16.2,C
2026,2,3,16.6,C
2026,2,4,17.1,C
2026,2,5,19.2,C
2026,2,6,20.3,C
2026,2,7,18.4,C
2026,2,8,15.8,C
2026,2,9,14.5,C
2026,2,10,17.0,C
2026,2,11,19.7,C
2026,2,12,17.6,C
2026,2,13,18.3,#
2026,2,14,20.1,C
2026,2,15,21.1,C
2026,2,16,21.5,C
2026,2,17,17.8,C
2026,2,18,17.6,C
2026,2,19,17.9,C
2026,2,20,19.8,C
2026,2,21,19.8,C
2026,2,22,20.6,C
2026,2,23,19.8,C
2026,2,24,19.8,C
2026,2,25,20.6,C
2026,2,26,19.1,C
2026,2,27,19.7,C
2026,2,28,18.7,C
2026,3,1,18.6,C
2026,3,2,20.4,C
2026,3,3,17.9,C
2026,3,4,15.5,C
2026,3,5,17.9,C
2026,3,6,18.9,C
2026,3,7,18.5,C
2026,3,8,17.8,C
2026,3,9,18.3,C
2026,3,10,17.0,C
2026,3,11,17.6,C
2026,3,12,19.3,C
2026,3,13,18.2,C
2026,3,14,18.4,C
2026,3,15,19.4,C
2026,3,16,19.9,C
2026,3,17,20.1,C
2026,3,18,21.7,C
2026,3,19,23.1,C
2026,3,20,20.7,C
2026,3,21,20.4,C
2026,3,22,21.3,C
2026,3,23,21.8,C
2026,3,24,22.5,C
2026,3,25,24.2,C
2026,3,26,23.9,C
2026,3,27,22.7,C
2026,3,28,22.8,C
2026,3,29,22.2,C
2026,3,30,24.2,C
2026,3,31,24.7,C
2026,4,1,23.8,C
2026,4,2,22.5,C
2026,4,3,24.4,C
2026,4,4,23.4,C
2026,4,5,22.9,C
2026,4,6,24.9,C
2026,4,7,25.7,C
2026,4,8,22.5,C
2026,4,9,24.6,C
2026,4,10,25.9,C
2026,4,11,25.4,C
2026,4,12,26.0,C
2026,4,13,26.4,C
2026,4,14,26.5,C
2026,4,15,26.4,C
2026,4,16,26.5,C
2026,4,17,24.9,C
2026,4,18,25.3,C
2026,4,19,25.7,C
2026,4,20,26.1,C
2026,4,21,26.3,C
2026,4,22,26.8,C
2026,4,23,25.9,C
2026,4,24,20.0,C
2026,4,25,22.0,C
2026,4,26,23.9,C
2026,4,27,24.6,C
2026,4,28,24.9,C
2026,4,29,23.8,C
2026,4,30,21.7,C
2026,5,1,23.2,C
2026,5,2,24.4,C
2026,5,3,24.7,C
2026,5,4,23.2,C
2026,5,5,20.7,C
2026,5,6,22.8,C
2026,5,7,24.6,C
2026,5,8,25.7,C
2026,5,9,23.2,C
2026,5,10,23.4,C
2026,5,11,25.3,C
2026,5,12,26.3,C
2026,5,13,27.6,C
2026,5,14,25.9,C
2026,5,15,24.6,C
2026,5,16,24.2,C
2026,5,17,24.1,C
2026,5,18,24.8,C
2026,5,19,24.8,C
2026,5,20,26.7,C
2026,5,21,26.9,C
2026,5,22,28.0,C
2026,5,23,28.5,C
2026,5,24,28.9,C
2026,5,25,29.4,C
2026,5,26,29.4,C
2026,5,27,29.9,C
2026,5,28,29.6,C
2026,5,29,29.2,C
2026,5,30,28.0,C
2026,5,31,27.8,C
2026,6,1,28.9,C
2026,6,2,29.9,C
2026,6,3,30.6,C
2026,6,4,30.6,C
2026,6,5,29.7,C
2026,6,6,26.6,C
2026,6,7,27.6,C
2026,6,8,26.6,C
2026,6,9,25.8,C
2026,6,10,24.9,C
2026,6,11,25.9,C
