"﻿平均氣溫 (攝氏度) - 濕地公園"
"Mean Temperature (°C) - Wetland Park"
年/Year,月/Month,日/Day,數值/Value,"數據完整性/data Completeness"
2026,1,1,17.4,C
2026,1,2,13.9,C
2026,1,3,12.4,C
2026,1,4,15.4,C
2026,1,5,15.7,C
2026,1,6,12.9,C
2026,1,7,11.4,C
2026,1,8,12.4,C
2026,1,9,12.9,C
2026,1,10,13.8,C
2026,1,11,15.2,C
2026,1,12,15.6,C
2026,1,13,16.8,C
2026,1,14,17.0,C
2026,1,15,17.9,C
2026,1,16,17.7,C
2026,1,17,18.7,C
2026,1,18,19.7,C
2026,1,19,18.0,C
2026,1,20,17.8,C
2026,1,21,14.1,C
2026,1,22,12.3,C
2026,1,23,12.4,C
2026,1,24,15.2,C
2026,1,25,17.6,C
2026,1,26,19.6,C
2026,1,27,20.6,C
2026,1,28,18.5,C
2026,1,29,18.4,C
2026,1,30,18.5,C
2026,1,31,17.5,C
2026,2,1,15.3,C
2026,2,2,16.3,C
2026,2,3,17.2,C
2026,2,4,18.9,C
2026,2,5,20.0,C
2026,2,6,20.2,C
2026,2,7,19.4,C
2026,2,8,15.9,C
2026,2,9,15.3,C
2026,2,10,17.7,C
2026,2,11,20.0,C
2026,2,12,17.9,C
2026,2,13,19.6,C
2026,2,14,20.5,C
2026,2,15,21.2,C
2026,2,16,22.7,C
2026,2,17,19.6,C
2026,2,18,19.5,C
2026,2,19,19.1,C
2026,2,20,20.6,C
2026,2,21,19.9,C
2026,2,22,21.6,C
2026,2,23,21.1,C
2026,2,24,22.5,C
2026,2,25,22.2,C
2026,2,26,21.6,C
2026,2,27,22.4,C
2026,2,28,20.4,C
2026,3,1,21.8,C
2026,3,2,23.3,C
2026,3,3,18.8,C
2026,3,4,15.5,C
2026,3,5,18.9,C
2026,3,6,19.2,C
2026,3,7,19.5,C
2026,3,8,19.5,C
2026,3,9,20.1,C
2026,3,10,17.2,C
2026,3,11,18.3,C
2026,3,12,19.6,C
2026,3,13,18.7,C
2026,3,14,19.1,C
2026,3,15,20.1,C
2026,3,16,20.4,C
2026,3,17,19.9,C
2026,3,18,22.1,C
2026,3,19,22.5,C
2026,3,20,22.6,C
2026,3,21,22.1,C
2026,3,22,23.3,C
2026,3,23,22.8,C
2026,3,24,23.5,C
2026,3,25,24.7,C
